Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
IF1800034,1/17/18,15:08,1/17/18,15:08,EVERGREEN TOBACCO,VERBAL DISPUTE,ADMIN CLOSED,0
CSA18-008,1/18/18,16:51,10/1/17,0:01,UNKNOWN SORORITY,FONDLING,ADMIN CLOSED,0
IF1800043,1/18/18,0:08,1/18/18,0:08,FIFTH/UNIVERSITY,PUBLIC URINATION,ADMIN CLOSED,36
II1800043,1/18/18,1:53,1/18/18,1:53,100 blk of JOHN ST E,BREATH ALCOHOL OVER LIMIT,ARREST,0
CC1710926,1/19/18,0:00,12/6/17,0:20,600 blk of E UNIVERSITY AV,ROBBERY,REPORTED TO OTHER AGENCY,0
II1800053,1/19/18,2:23,1/19/18,2:23,STATE ST / STANAGE DR,BREATH ALCOHOL OVER LIMIT,ARREST,0
II1800054,1/19/18,8:40,1/19/18,8:40,KEYSTONE DR / GATES DR,WARRANT-IN STATE,ADMIN. CLOSE,0
II1800061,1/21/18,0:59,1/21/18,0:59,FAMILY DOLLAR,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1800063,1/21/18,2:04,1/21/18,2:04,SPRINGFIELD AVE W / BUSEY AVE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1800064,1/21/18,3:13,1/21/18,2:40,FLORIDA AVE RESIDENCE,BOMB THREAT,UNFOUNDED,41
00191-2018,1/22/18,11:59,1/20/18,5:30,PAR,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,41
CC1800404,1/22/18,0:00,1/17/18,10:00,1600 blk of W GREEN,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1800407,1/22/18,0:00,1/17/18,19:14,HYATT PLACE,LOST ARTICLES,REPORTED TO OTHER AGENCY,0
II1800068,1/22/18,10:49,1/20/18,10:00,O'HARE AIRPORT,THEFT OVER $500,ADMIN. CLOSE,0
II1800362,1/23/18,11:40,10/3/17,0:01,500 blk of LAKESHORE DR E,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1800077,1/24/18,1:47,1/24/18,1:47,GREEN ST E / SIXTH ST S,RESIST/OBS CORRECT/POLICE/FIRE,ADMIN. CLOSE,14
C180240015,1/25/18,7:02,1/24/18,1:04,WASHINGTON PARK,DOMESTIC VIOLENCE,REPORTED TO OTHER AGENCY,0
CC1800413,1/25/18,0:00,1/17/18,23:30,blk of GREEN,SEXUAL-ASSAULT-CRIMINAL,REPORTED TO OTHER AGENCY,0
CC1800446,1/25/18,0:00,1/19/18,1:54,HEALEY / SIXTH,IMPROPER LANE USAGE-ONE-WAY ST,REPORTED TO OTHER AGENCY,0
CC1800517,1/25/18,0:00,1/21/18,0:14,400 blk of S SIXTH ST,SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY,0
II1800089,1/25/18,10:57,1/23/18,13:00,1000 blk of PENNSYLVANIA AVE W,SEXUAL ASSAULT-AGG CRIMINAL,CLEARED EXCEPT. PROS. FAIL TO,36
II1800091,1/25/18,20:02,1/25/18,20:02,300 blk of CLARK E,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1800092,1/25/18,20:49,1/25/18,20:49,STATE S / WHITE,DEL/MANUF CANNABIS UNDER 30 G -,ARREST,0
00231-2018,1/26/18,9:36,1/20/18,17:15,SDRP,LARCENY,ADMIN CLOSED,34
00249-2018,1/26/18,9:57,1/20/18,21:00,HERE APARTMENTS,DRUGS,ADMIN CLOSED,0
C180260036,1/26/18,6:00,1/26/18,2:04,BROTHER'S BAR,SIMPLE ASSAULT,REPORTED TO OTHER AGENCY,14
IF1800076,1/26/18,23:37,1/26/18,23:37,300 BLK HEALEY,PUBLIC POSSESSION OF ALCOHOL,ADMIN CLOSED,0
IF1800079,1/26/18,23:17,1/26/18,23:17,BOUSFILED RESIDENCE HALL,DRUGS,STUDENT DISC REFERRAL,34
IF1800092,1/26/18,14:38,1/26/18,14:38,80 BLK UNIVERSITY,HARASSMENT,ADMIN CLOSED,36
UU1800405,1/26/18,0:00,1/25/18,22:41,COLER AV S / NEVADA,ROBBERY-ARMED,REPORTED TO OTHER AGENCY,0
C180260195,1/27/18,6:00,1/26/18,11:55,800 BLK FOURTH ST,THREATS,REPORTED TO OTHER AGENCY,0
IF1800080,1/27/18,0:05,1/27/18,0:05,1200 PENNSYLVANIA,DOMESTIC DISPUTE,ADMIN CLOSED,0
IF1800084,1/27/18,1:35,1/27/18,1:35,200 BLK GREGORY,DRUGS,ADMIN CLOSED,34
II1800096,1/27/18,3:59,1/27/18,3:57,ECE BUILDING,THEFT $500 AND UNDER,ARREST,1
C180270460,1/28/18,6:00,1/27/18,21:55,911 LOCUST ST,DOMESTIC VIOLENCE,REPORTED TO OTHER AGENCY,0
C180280019,1/28/18,6:00,1/28/18,0:50,57 CHALMERS ST,DOMESTIC VIOLENCE,REPORTED TO OTHER AGENCY,0
U180270406,1/28/18,6:00,1/27/18,19:53,705 W CALIFORNIA,THREATS,REPORTED TO OTHER AGENCY,0
II1800108,1/29/18,16:46,1/29/18,16:46,FOUNTAIN VALLEY TP / RT 45,METRO ACTIVATION,ADMIN. CLOSE,0
CSA17-262,1/30/18,9:24,10/26/17,UNKNOWN,HENDRICK HOUSE,STALKING,ADMIN CLOSED,0
II1800109,1/30/18,15:52,1/22/18,14:00,ELECTRICAL COMPUTER ENG,THEFT OVER $500,ARREST,1
CC1800551,2/1/18,0:00,11/15/17,0:01,700 blk of COREY LN,DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY,0
CC1800563,2/1/18,0:00,1/22/18,19:45,WI-FI LIQUOR,THEFT-RETAIL,REPORTED TO OTHER AGENCY,10
CC1800573,2/1/18,0:00,1/23/18,0:01,blk of CHAMPAIGN AREA,SEXUAL-ASSAULT-CRIMINAL,REPORTED TO OTHER AGENCY,0
CC1800581,2/1/18,0:00,1/23/18,11:35,EDISON MS,SRO - YAC REFERRAL,REPORTED TO OTHER AGENCY,0
CC1800582,2/1/18,0:00,1/22/18,4:00,300 blk of W WHITE ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1800601,2/1/18,0:00,1/23/18,20:30,300 blk of E STOUGHTON ST,FORGERY,REPORTED TO OTHER AGENCY,0
CC1800613,2/1/18,0:00,9/12/17,12:00,1400 blk of W SPRINGFIELD AV,HARASSMENT BY ELECTRONIC,REPORTED TO OTHER AGENCY,0
CC1800631,2/1/18,0:00,1/18/18,23:00,BROTHERS BAR AND GRILL,BATTERY-AGGRAVATED,REPORTED TO OTHER AGENCY,14
CC1800647,2/1/18,0:00,1/25/18,20:00,S FIFTH ST / STOUGHTON,ROBBERY-ARMED,REPORTED TO OTHER AGENCY,0
CC1800697,2/1/18,0:00,1/27/18,12:25,W WINDSOR / MELROSE,NO DRIVERS LICENSE,REPORTED TO OTHER AGENCY,0
C180320273,2/2/18,6:00,2/1/18,14:58,310 E SPRINGFIELD,DOMESTIC VIOLENCE,REPORTED TO OTHER AGENCY,0
IF1800108,2/2/18,0:24,2/2/18,0:24,OAK/DANIEL,VERBAL DISPUTE,ADMIN CLOSED,0
II1800121,2/2/18,4:17,2/1/18,22:30,ARCADE BUILDING,CRIMINAL DEFACEMENT OF PROPERTY,CLEARED EXCEPT. PROS. FAIL TO,14
II1800124,2/2/18,13:34,12/15/17,0:01,3000 blk of SAYRE AVE N,HARASSMENT BY ELECTRONIC,ADMIN. CLOSE,0
IF1800125,2/3/18,23:10,2/3/18,23:10,OAK/ARMORY,AGGRAVATED BATTERY,ADMIN CLOSED,0
IF1800127,2/4/18,1:43,2/4/18,1:43,SIXTH/ARMORY,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,29
IF1800128,2/4/18,1:26,2/4/18,1:26,1200 BLK FIRST ST,LIQUOR-UNDERAGE,ADMIN CLOSED,34
CSA18-030,2/5/18,11:09,2/3/18,1:45,200 BLK ARMORY,HARASSMENT,ADMIN CLOSED,0
C180370025,2/6/18,6:00,2/6/18,4:24,101 E GREEN ST,DOMESTIC VIOLENCE,REPORTED TO OTHER AGENCY,0
CSA18-035,2/7/18,16:53,2/2/18,UNKNOWN,PRIVATE CERTIFIED HOUSING,FONDLING,ADMIN CLOSED,0
II1800139,2/7/18,5:41,2/7/18,5:41,700 blk of WILLOW POND ROAD,METRO ACTIVATION,ADMIN. CLOSE,0
IF1800143,2/8/18,2:24,2/8/18,2:24,400 BLK GREEN ST,LIQUOR-UNDERAGE,ADMIN CLOSED,0
IF1800146,2/9/18,0:56,2/9/18,0:56,FOURTH/GREEN,SIMPLE ASSAULT,ADMIN CLOSED,0
IF1800148,2/9/18,2:48,2/9/18,2:48,304 E DANIEL ST,LIQUOR-UNDERAGE,ADMIN CLOSED,0
II1800148,2/9/18,20:34,12/15/17,19:00,300 blk of DANIEL ST E,BATTERY-DOMESTIC,ADMIN. CLOSE,0
II1800149,2/9/18,22:18,2/9/18,22:18,1100 blk of SPRINGFIELD AVE W,DISORDERLY CONDUCT-ALL OTHER,REFERRED TO OTHER JURISDICTION,0
CC1800911,2/13/18,0:00,2/3/18,23:00,FIRST ST / ARMORY,BATTERY,REPORTED TO OTHER AGENCY,30
II1800164,2/14/18,17:49,2/14/18,9:33,UNDERGRAD LIBRARY,THEFT $500 AND UNDER,ADMIN. CLOSE,47
CSA18-043,2/15/18,15:43,2017,UNKNOWN,CALIFORNIA,RAPE,ADMIN CLOSED,0
II1800175,2/15/18,23:38,7/1/17,12:00,500 blk of HEALEY ST E,BATTERY-DOMESTIC,PENDING,0
UU1702952,2/15/18,0:00,6/17/17,14:25,600 blk of OREGON ST W,DOMESTIC DISPUTE,REPORTED TO OTHER AGENCY,0
CC1801201,2/16/18,0:00,2/11/18,17:30,SPORT CLIPS,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
IF1800790,2/16/18,23:46,2/16/18,23:46,FIFTH/DANIEL,DRUGS,ADMIN CLOSED,0
II1800180,2/16/18,23:22,2/13/18,5:00,500 blk of GREEN ST E,HARASSMENT BY ELECTRONIC,ADMIN. CLOSE,0
II1800193,2/19/18,15:50,2/16/18,17:30,KRANNERT CENTER,CRIMINAL DAMAGE GOVT SUPPORT,ADMIN. CLOSE,19
II1800198,2/19/18,16:07,2/19/18,16:07,100 blk of MAIN ST N,EOD CALLOUT,ADMIN. CLOSE,0
II1800201,2/19/18,11:22,12/25/17,12:00,GOODWIN GREEN APARTMENTS,MISSING PERSON ADULT/FEMALE,PENDING,16
II1800203,2/20/18,12:58,2/20/18,12:58,PDR AUTOMOTIVE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
CC1800230,2/21/18,0:00,1/11/18,0:01,FOURTH ST / CHALMERS,DISORDERLY CONDUCT-ALL OTHER,REPORTED TO OTHER AGENCY,27
CC1800305,2/21/18,0:00,1/5/18,12:00,600 blk of E UNIVERISTY AVE,DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY,0
CC1800711,2/21/18,0:00,1/27/18,22:52,MURPHYS PUB,MIP ALCOHOL/LIQUOR,REPORTED TO OTHER AGENCY,10
CC1801282,2/21/18,0:00,2/16/18,5:00,ALPHA SIGMA PHI,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
IF1800207,2/21/18,3:37,2/21/18,3:37,STUDENT STAFF APTS,LIQUOR-UNDERAGE,ADMIN CLOSED,0
UU1800406,2/21/18,0:00,1/26/18,1:20,RED HERRING RESTAURANT,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,24
CC1801301,2/22/18,0:00,2/16/18,23:31,blk of FOURTH ST,PEDESTRIAN STOPS,REPORTED TO OTHER AGENCY,40
CC1801356,2/22/18,0:00,2/16/18,20:00,PRO CAFE,THEFT OVER $500,REPORTED TO OTHER AGENCY,0
II1800250,2/24/18,0:40,2/24/18,0:39,ESPRESSO ROYALE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1800230,2/26/18,3:47,2/22/18,12:00,200 blk of PEABODY DR E,SEXUAL ABUSE-CRIMINAL,ADMIN. CLOSE,34
II1800241,2/27/18,18:01,2/27/18,17:30,PARKING LOT F-14,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,17
II1800318,2/28/18,20:33,2/16/18,0:01,1500 blk of RACE ST S,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1800249,3/1/18,10:54,2/27/18,7:00,PARKING LOT F-28,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,36
II1800252,3/1/18,14:53,2/27/18,12:00,ALPHA OMICRON PI SORORITY,DISORDERLY CONDUCT-ALL OTHER,STUDENT DISCIPLINE REFERRAL,24
II1800253,3/1/18,23:37,3/1/18,23:37,GREEN ST E / WRIGHT,WARRANT-IN STATE,ARREST,47
II1800254,3/1/18,23:09,3/1/18,23:09,HOLTS DR / PHILLIPS DR,WARRANT-IN STATE,ARREST,0
CSA18-058,3/2/18,15:13,2/28/18,UNKNOWN,PRIVATE PROPERTY,AGGRAVATED ASSAULT,ADMIN CLOSED,0
IF1800263,3/2/18,21:13,3/2/18,21:13,GOODWIN/STOUGHTON,PUBLIC URINATION,ADMIN CLOSED,8
IF1800265,3/2/18,22:15,3/2/18,22:15,FIRST/ARMORY,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,0
IF1800268,3/2/18,22:22,3/2/18,22:22,606 E WHITE,LIQUOR-UNDERAGE,ADMIN CLOSED,0
II1800260,3/2/18,23:11,3/2/18,23:11,500 blk of STOUGHTON ST E,RESIST/OBS CORRECT/POLICE/FIRE,ARREST,0
CC1801801,3/4/18,0:00,3/3/18,23:30,800 blk of S FIFTH ST,BATTERY-AGGRAVATED,REPORTED TO OTHER AGENCY,0
CC1801482,3/5/18,0:00,2/23/18,9:15,1100 blk of N THIRD ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
CC1801588,3/5/18,0:00,2/17/17,6:00,RED LION BAR,OTHER TROUBLE/INFO RPT,REPORTED TO OTHER AGENCY,0
UR1801052,3/6/18,6:00,3/6/18,0:20,700 W ELM ST,REVENGE PORNOGRAPHY,REPORTED TO OTHER AGENCY,0
UU1800992,3/6/18,0:00,3/2/18,12:40,800 blk of SPRINGFIELD AV,OBSTRUCTING IDENTIFICATION,REPORTED TO OTHER AGENCY,0
UU1801001,3/6/18,0:00,3/2/18,21:04,COLER AVE S / ILLINOIS AVE W,LIQUOR-PURCH/POSS/CONSUMP BY,REPORTED TO OTHER AGENCY,0
II1800282,3/7/18,15:36,2/1/15,0:01,LITTLEFUSE RESEARCH CENTE,THEFT OVER $500,ARREST,0
CC1801576,3/8/18,0:00,11/11/17,23:30,FIREHAUS,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,36
CC1801852,3/8/18,0:00,11/17/17,12:00,2400 blk of CARISBROOKE DR,STALKING,REPORTED TO OTHER AGENCY,0
II1800286,3/8/18,9:10,3/8/18,9:10,300 blk of EUREKA ST W,METRO ACTIVATION,ADMIN. CLOSE,0
II1800292,3/8/18,22:27,3/8/18,22:26,UNIVERSITY AVE W / GOODWIN,CANNABIS POSS OVER 10 - 100 G -MISD,ARREST,0
II1800302,3/10/18,19:32,3/10/18,19:32,KENNEY GYM,TRESPASS-STATE SUPPORTED LAND,ARREST,1
II1800303,3/11/18,0:38,3/11/18,0:38,WRIGHT ST S / GREEN ST E,BREATH ALCOHOL OVER LIMIT,ARREST,47
II1800308,3/12/18,2:21,3/12/18,2:21,700 blk of THIRD ST S,WARRANT-IN STATE,ARREST,0
CC1801766,3/13/18,0:00,3/2/18,23:13,300 blk of N NEIL ST,OTHER TROUBLE/INFO RPT,REPORTED TO OTHER AGENCY,0
CSA18-064,3/13/18,9:37,3/10/18,UNKNOWN,OFF CAMPUS,RAPE,ADMIN CLOSED,0
CC1800916,3/15/18,0:00,2/4/18,2:00,500 blk of BASH CT,SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY,0
CC1801016,3/15/18,0:00,2/5/18,17:00,ILLINI TOWERS,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,27
CC1801311,3/15/18,0:00,2/17/18,6:59,PI KAPPA ALPHA,SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY,0
CC1801380,3/15/18,0:00,2/18/18,20:50,MR KYOTO,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,14
IF1800336,3/15/18,5:22,3/15/18,5:22,FLORIDA/LINCOLN,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,45
IF1800343,3/16/18,0:56,3/16/18,0:56,616 E GREEN ST,TRESPASS,ADMIN CLOSED,10
IF1800345,3/16/18,14:34,3/16/18,14:34,PARKING LOT C-16,DISORDERLY CONDUCT,ADMIN CLOSED,17
UU1800774,3/16/18,0:00,2/18/18,0:29,1200 blk of NEVADA ST W,POSS OF CANNABIS,REPORTED TO OTHER AGENCY,25
II1800334,3/17/18,2:29,3/17/18,2:29,UNIVERSITY AV E / WRIGHT,DRIVING UNDER THE INFL-ALCOHOL,ARREST,18
II1800338,3/18/18,14:30,3/18/18,14:30,ELECTRICAL AND COMPUTING,THEFT $500 AND UNDER,ARREST,1
II1800344,3/19/18,14:35,3/19/18,9:09,BEVIER HALL,STALKING,ARREST,49
II1800347,3/20/18,1:10,3/20/18,1:10,UNIVERSITY AVE / FOURTH ST,WARRANT-IN STATE,ARREST,0
UR1801248,3/20/18,6:00,3/20/18,0:12,704 W ELM ST,DOMESTIC DISPUTE,REPORTED TO OTHER AGENCY,0
CSA18-070,3/22/18,15:45,2016,UNKNOWN,ON CAMPUS AND NEAR CAMPUS,RAPE/DOMESTIC,ADMIN CLOSED,10
II1800351,3/22/18,17:21,3/22/18,17:21,1300 blk of BEECH ST,WARRANT-IN STATE,ARREST,0
II1800353,3/23/18,14:59,3/23/18,14:59,VINE ST N / MAIN,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
LT17-001,3/23/18,9:01,7/28/17-8/5/17,UNKNOWN,"97 SUMMIT RD, NEWRY, ME",SIMPLE ASSAULT,REPORTED TO OTHER AGENCY,0
LT17-003,3/23/18,11:16,5/26/17,8:03,"1801 N NAPER BLVD, NAPERVILLE, IL",LARCENY,REPORTED TO OTHER AGENCY,0
LT17-004,3/23/18,9:56,6/26/17,21:05,"1000 PENN AVE, PITTSBURGH, PA",PUBLIC DRUNKENNEESS & TRESPASS,REPORTED TO OTHER AGENCY,0
UU1801310,3/24/18,0:00,2/15/18,0:01,1900 blk of CUNNINGHAM AVE,DOMESTIC DISPUTE,REPORTED TO OTHER AGENCY,0
CC1801402,3/26/18,0:00,12/2/17,0:01,200 blk of E STOUGHTON,OTHER MISC/CPD ORDINANCE,REPORTED TO OTHER AGENCY,0
CC1801795,3/26/18,0:00,3/3/18,20:55,SUPER PARIS CREPES,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1801819,3/26/18,0:00,3/4/18,0:01,FOURTH / GREEN,THEFT OF LOST/MISLAID PROPERTY,REPORTED TO OTHER AGENCY,0
CC1801931,3/26/18,0:00,3/7/18,16:30,SUBURBAN EXPRESS,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,14
CC1802022,3/26/18,0:00,3/10/18,14:00,THIRD ST / E ARMORY,THEFT-MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
CC1802064,3/26/18,0:00,3/12/18,19:00,SPOON HOUSE,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,10
CC1802081,3/26/18,0:00,3/14/18,1:08,ALPHA EPSILON PI,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1802154,3/26/18,0:00,3/8/18,12:00,200 blk of GREGORY DR,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,34
CC1802160,3/26/18,0:00,3/17/18,0:25,E JOHN / S THIRD,IMPROPER USE OF SIGNAL,REPORTED TO OTHER AGENCY,0
CC1802353,3/26/18,0:00,3/25/18,23:38,"COUNTY MARKET-STO, CH",WARRANT-IN STATE,REPORTED TO OTHER AGENCY,0
IF1800364,3/26/18,0:59,3/26/18,0:59,PARKING LOT E-11,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,17
II1800360,3/26/18,16:05,3/26/18,15:00,SPRINGFIELD AV / GOODWIN,DISORDERLY CONDUCT-ALL OTHER,ARREST,0
LT17-002,3/26/18,8:30,1/12/17,1:30,"400 W WATERMAN, WICHITA, KS",RAPE,REPORTED TO OTHER AGENCY,0
LT17-005,3/26/18,5:37,9/1/17,UNKNOWN,"830 PHILLIPS LANE, LOUISVILLE, KY",THEFT BY UNLAWFUL TAKING,REPORTED TO OTHER AGENCY,0
II1800366,3/27/18,14:56,3/27/18,12:30,500 blk of ARMORY AVE E,THEFT OF LOST/MISLAID PROPERTY,PENDING,31
II1800367,3/28/18,2:28,3/28/18,2:28,GREEN ST E / NEIL ST,BREATH ALCOHOL OVER LIMIT,ARREST,0
II1800371,3/28/18,14:15,3/28/18,14:15,600 blk of GREEN ST E,FUGITIVE FROM JUSTICE,ARREST,14
II1800373,3/29/18,1:42,3/29/18,1:42,300 blk of WRIGHT ST N,CANNABIS POSS 10 GM OR LESS -ORD,ARREST,1
II1800375,3/29/18,12:12,3/27/18,12:00,EINSTEIN BROTHERS BAGELS,EAVESDROPPING,CLEARED EXCEPT. PROS. FAIL TO,0
II1800385,3/31/18,1:10,3/31/18,1:10,WHITE ST E / FIRST ST,CANNABIS POSS OVER 10 - 100 G -MISD,ARREST,0
IF1800401,4/1/18,0:26,4/1/18,0:26,GOODWIN/NEVADA,LIQUOR-UNDERAGE,ADMIN CLOSED,50
IF1800410,4/1/18,0:32,4/1/18,0:32,PARKING LOT E-38,LIQUOR-UNDERAGE,ADMIN CLOSED,17
II1800389,4/1/18,2:29,4/1/18,2:29,1100 blk of NEVADA ST W,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,25
II1800394,4/2/18,9:26,3/28/18,19:00,LAR LEONARD HALL,THEFT $500 AND UNDER,ADMIN. CLOSE,32
UU1800562,4/2/18,0:00,2/4/18,0:57,800 blk of NEVADA ST W,LIQUOR-PURCH/POSS/CONSUMP BY,REPORTED TO OTHER AGENCY,0
CC1802454,4/4/18,0:00,3/29/18,15:05,US POST OFFICE,BATTERY-AGGRAVATED,REPORTED TO OTHER AGENCY,0
IF1800421,4/4/18,1:40,4/4/18,1:40,300 BLK CHALMERS ST,LARCENY,ADMIN CLOSED,0
II1800409,4/4/18,9:49,4/4/18,9:49,800 blk of SPRINGFIELD AVE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
LT17-007,4/4/18,17:23,2/12-2/15/2017,UNKNOWN,"3400 S LAS VEGAS BLDV, LAS VEGAS, NV",ROBBERY & DOMESTIC VIOLENCE,REPORTED TO OTHER AGENCY,0
LT17-008,4/4/18,17:23,3/3-3/8/2017,UNKNOWN,"3900 S LAS VEGAS BLVD, LAS VEGAS, NV",BURGLARY,REPORTED TO OTHER AGENCY,0
LT17-009,4/4/18,17:23,12/7-12/10/2017,UNKNOWN,"3799 S LAS VEGAS BLVD, LAS VEGAS, NV",BURGLARY & DOMESTIC VIOLENCE,REPORTED TO OTHER AGENCY,0
LT17-010,4/4/18,16:38,4/30/17,9:42,"2775 FLORIDA PLAZA BLVD, KISSIMMEE, FL",LARCENY,REPORTED TO OTHER AGENCY,0
II1800417,4/5/18,11:17,2/1/18,12:00,UBBEN BASKETBALL CENTER,THEFT OVER $500,ADMIN. CLOSE,44
II1800422,4/5/18,16:30,4/5/18,15:45,800 blk of ANTHONY DR W,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
CC1800383,4/6/18,0:00,1/16/18,22:30,900 blk of POMONA DR,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
CSA18-078,4/6/18,12:31,4/1/18,UNKNOWN,UNKNOWN CAMPUS BAR,AGGRAVATED ASSAULT,ADMIN CLOSED,10
IF1800452,4/6/18,11:21,4/6/18,11:21,PAR MAIN BUILDING,DRUGS,STUDENT DISC REFERRAL,0
CC1802733,4/7/18,0:00,4/7/18,2:33,WRIGHT ST / E GREEN ST,BATTERY,REPORTED TO OTHER AGENCY,47
II1800430,4/7/18,21:11,4/7/18,21:11,GREEN STREET E / LOCUST STREET,HYPODERMIC NEEDLE/SYRINGE-,ARREST,0
LT17-011,4/7/18,9:07,9/18/17,10:56,"OLD TIMBER ROAD, MONTICELLO, IL",BURGLARY,REPORTED TO OTHER AGENCY,0
CC1801773,4/9/18,0:00,3/3/18,3:15,300 blk of S STATE ST,SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY,0
CC1802517,4/9/18,0:00,3/31/18,19:10,AM-KO ORIENTAL FOODS,ALCOHOL/LIQ SALES INTOX SUBJ OR,REPORTED TO OTHER AGENCY,0
CC1802638,4/9/18,0:00,4/3/18,18:30,100 blk of E ARMORY ST,THEFT OVER $500,REPORTED TO OTHER AGENCY,30
CC1802690,4/9/18,0:00,4/5/18,18:34,URBAN OUTFITTERS,THEFT-RETAIL,REPORTED TO OTHER AGENCY,0
CC1802704,4/9/18,0:00,4/6/18,1:07,WINGIN OUT,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
