Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
CSA17-04,1/18/17,19:25,1/18/17,19:13,1010 W UNIVERSITY,RAPE,ADMIN CLOSED,0
IF1700048,1/19/17,2:20,1/19/17,2:20,1110 DORNER DR,DRUGS,STUDENT DISC REFERRAL,0
II1700056,1/21/17,2:12,1/21/17,2:12,LINCOLN AVE S / INDIANA,DRIVING UNDER THE INFL-ALCOHOL,ARREST,0
IF1700064,1/21/17,4:38,1/21/17,4:38,OGELSBY RESIDENCE HALL,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,41
IF1700069,1/21/17,21:14,1/21/17,21:14,NEVADA ST / GOODWIN AV,LIQUOR - OPEN ALCOHOL,STUDENT DISC REFERRAL,50
IF1700071,1/21/17,0:44,1/21/17,0:44,SYNDER RESIDENCE HALL,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,34
CSA17-07,1/21/17,21:40,1/20/17,UNKNOWN,1000 BLK COLLEGE CT,RAPE,ADMIN CLOSED,0
II1700057,1/22/17,1:03,1/22/17,1:03,DANIEL ST / SIXTH ST,RESIST/OBS CORRECT/POLICE/FIRE,ARREST,18
IF1700074,1/22/17,2:42,1/22/17,2:42,NEIL ST / HEALEY,VERBAL DOMESTIC,ADMIN CLOSED,0
CSA17-08,1/22/17,19:08,1/19/17,19:48,UNKNOWN OFF CAMPUS,DOMESTIC OFFENSE,ADMIN CLOSED,0
II1700064,1/23/17,15:15,1/15/17,15:00,PARKING LOT C-16,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,17
CC1700283,1/24/17,0:00,1/11/17,12:40,CAFE BENE,DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY,0
CC1700004,1/24/17,0:00,1/1/17,2:18,800 blk of S LOCUST ST,MIP ALCOHOL/LIQUOR,REPORTED TO OTHER AGENCY,0
CC1700332,1/24/17,0:00,1/13/17,2:20,FOURTH / GREEN,DRIVING UNDER THE INFL-ALCOHOL,REPORTED TO OTHER AGENCY,0
CC1700076,1/24/17,0:00,1/3/17,8:30,400 blk of E UNIVERSITY AV,THEFT-MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
II1700070,1/24/17,15:40,1/24/17,15:40,WRIGHT ST S / DANIEL ST,THEFT-RETAIL,ARREST,47
CC1700018,1/24/17,0:00,1/1/17,2:00,THIRD ST / E JOHN ST,BATTERY-AGGRAVATED,REPORTED TO OTHER AGENCY,0
CC1700120,1/24/17,0:00,1/4/16,10:00,900 blk of S FOURTH ST,FRAUD-CREDIT CARD,REPORTED TO OTHER AGENCY,21
CC1700361,1/24/17,0:00,12/10/16,2:00,300 blk of E ARMORY,BURGLARY RESIDENTIAL,REPORTED TO OTHER AGENCY,0
CC1700432,1/24/17,0:00,1/16/17,21:27,JOHN ST / THIRD ST,ROBBERY-ARMED,REPORTED TO OTHER AGENCY,0
IF1700124,1/24/17,1:56,1/24/17,1:56,MERRY ANNES DINER,FIGHT,ADMIN CLOSED,0
00126-2017,1/24/17,13:18,1/23/17,23:54,TAFT RES HALL,LIQUOR-UNDERAGE,STUDENT DISCIPLINE,34
CSA16-131,1/26/17,15:00,6/24/16,UNKNOWN,PRIVATE CERTIFIED HOUSEING,SEX OFFENSE,ADMIN CLOSED,0
00103-2017,1/26/17,16:51,1/20/17,23:05,SCOTT RES HALL,DRUGS,ADMIN CLOSED,34
00140-2017,1/26/17,10:23,1/21/17,21:57,ALLEN RES HALL,DRUGS,ADMIN CLOSED,32
00145-2017,1/26/17,10:08,1/25/17,21:25,HOPKINS RES HALL,LIQUOR-UNDERAGE,STUDENT DISCIPLINE,34
CSA16-175,1/27/17,15:57,11/19/15,22:00,LIBERAL ART AND SCIENCES,HARASSMENT,ADMIN CLOSED,47
CSA16-184,1/27/17,15:51,9/11/15,12:00,BAR CRAWL OFF CAMPUS,SEX OFFENSE,ADMIN CLOSED,0
00146-2017,1/27/17,10:34,1/25/17,23:15,OGLESBY RES HALL,DRUGS,ADMIN CLOSED,41
00162-2017,1/27/17,10:47,1/27/17,3:15,VAN DOREN RES HALL,LIQUOR-UNDERAGE,STUDENT DISCIPLINE,34
00164-2017,1/27/17,10:03,1/27/17,6:30,SNYDER RES HALL,LIQUOR-UNDERAGE,STUDENT DISCIPLINE,34
II1700094,1/28/17,5:02,1/28/17,5:02,500 blk of DUNLAP AVE S,ASSIST COUNTY POLICE,ADMIN. CLOSE,0
II1700099,1/30/17,7:21,1/28/17,5:30,WATER SURVEY,THEFT OVER $500,ADMIN. CLOSE,0
CSA16-144,1/30/17,11:20,6/1/16,UNKNOWN,MUMFORD HALL PARKING LOT,BURGLARY MOTOR VEHICLE,ADMIN CLOSED,0
CSA16-203,1/30/17,15:00,9/18/15,0:00,ON CAMPUS,SEXUAL HARASSMENT,ADMIN CLOSED,36
CSA16-135,1/31/17,13:44,8/31/16,UNKNOWN,UNKNOWN,SEX OFFENSE,ADMIN CLOSED,0
CSA16-159,2/1/17,11:24,3/7/16,13:40,OFF CAMPUS -PRIVATE APARTMENT,SEX OFFENSE,ADMIN CLOSED,0
CSA16-160,2/1/17,11:27,3/7/16,0:00,ON CAMPUS CLASSROOM (COLLEGE OF,SEXUAL HARASSMENT,ADMIN CLOSED,36
CSA16-162,2/1/17,12:30,4/3/16,18:03,OFF CAMPUS - SOUTH CHINA,DOMESTIC VIOLENCE,ADMIN CLOSED,0
CSA16-163,2/1/17,14:31,9/15/14,0:00,OFF CAMPUS - UNKNOWN LOCATION,SEX OFFENSE,ADMIN CLOSED,0
CSA16-164,2/1/17,14:33,4/15/16,22:33,SIGMA PI FRATERNITY,AGGRAVATGED ASSAULT,ADMIN CLOSED,0
CSA16-168,2/1/17,14:48,5/3/16,13:09,OFF CAMPUS,SEX OFFENSE,ADMIN CLOSED,36
CSA16-169,2/1/17,14:49,4/16/16,2:00,"ACCORD BAR, 51 E MAIN",AGGRAVATGED ASSAULT,ADMIN CLOSED,0
CSA16-170,2/1/17,14:50,5/12/16,16:00,51 E JOHN ST,SEX OFFENSE,ADMIN CLOSED,0
CSA16-171,2/1/17,12:41,3/7/16,8:24,512 S THIRD,SEXUAL HARASSMENT,ADMIN CLOSED,0
CSA16-172,2/1/17,15:52,8/29/16,20:20,TAFT-VANDOREN,SEX OFFENSE,ADMIN CLOSED,34
CSA16-176,2/1/17,14:38,4/26/16,13:00,OFF CAMPUS HOTEL,SEX OFFENSE,ADMIN CLOSED,0
CSA16-178,2/1/17,14:37,9/26/15,23:29,AKL FRATERNITY HOUSE,SEX OFFENSE,ADMIN CLOSED,36
CSA16-179,2/1/17,15:56,11/18/15,12:24,308 E GREEN,HARASSMENT,ADMIN CLOSED,0
CSA16-180,2/1/17,12:42,4/14/16,10:52,309 E GREEN,SEX OFFENSE,ADMIN CLOSED,0
CSA16-188,2/1/17,14:34,4/19/16,18:26,VANDOREN RESD HALL,HARASSMENT,ADMIN CLOSED,34
CSA16-189,2/1/17,14:39,4/27/16,3:19,ISR,SEX OFFENSE,ADMIN CLOSED,16
CSA16-192,2/1/17,15:04,3/9/16,15:34,MADIGAN LAB,HARASSMENT,ADMIN CLOSED,36
CSA16-195,2/1/17,15:05,6/3/16,16:55,OFF-CAMPUS-ONLINE COMMUNITY,HARASSMENT,ADMIN CLOSED,0
CSA16-198,2/1/17,12:29,4/1/16,15:54,TRELEASE HALL,DOMESTIC VIOLENCE,ADMIN CLOSED,41
CSA16-199,2/1/17,15:46,7/4/16,0:00,HOTEL IN CHICAGO,SEX OFFENSE,ADMIN CLOSED,0
CSA16-202,2/1/17,14:35,4/8/16,18:00,52 E ARMORY,SEX OFFENSE,ADMIN CLOSED,0
CSA16-204,2/1/17,12:15,3/17/16,0:00,STUDENT PRIVATE APARTMENT,SEX OFFENSE,ADMIN CLOSED,0
CSA16-213,2/1/17,12:24,3/16/16,16:30,507 S SECOND,DOMESTIC VIOLENCE,ADMIN CLOSED,0
CSA16-217,2/1/17,15:07,041/31/2106,22:03,"1806 S COTTAGE GROVE, UR",DOMESTIC VIOLENCE,ADMIN CLOSED,0
CSA16-218,2/1/17,12:46,4/14/16,11:40,PHI GAMMA NU,SEXUAL HARASSMENT,ADMIN CLOSED,0
CSA16-222,2/1/17,15:47,8/23/16,12:00,ON DANIEL ACROSS FROM IUB,SEXUAL HARASSMENT,ADMIN CLOSED,36
CSA16-226,2/1/17,12:31,4/11/16,13:00,ON CAMPUS - HOUSING DIVISION,STALKING,ADMIN CLOSED,46
CSA16-227,2/1/17,15:44,8/22/16,10:59,UNKNOWN ON CAMPUS,STALKING,ADMIN CLOSED,0
IF1700138,2/1/17,2:09,2/1/17,2:09,706 S SIXTH ST,LIQUOR - UNDERAGE,ADMIN CLOSED,14
II1700115,2/2/17,20:08,2/2/17,20:08,JOHN DEERE,THEFT-MOTOR VEHICLE,PENDING,0
IF1700143,2/2/17,3:02,2/2/17,3:02,1005 COLLEGE CT,LIQUOR - UNDERAGE,ADMIN CLOSED,41
CSA16-157,2/3/17,12:56,2014-2016,UNKNOWN,ASSUMED OUT OF CLERY GEOGRPAHY,DOMESTIC VIOLENCE,ADMIN CLOSED,0
CSA17-14,2/3/17,13:58,1/28/17,22:36,OFF CAMPUS APARTMENT,DOMESTIC OFFENSE,ADMIN CLOSED,0
II1700125,2/4/17,21:32,2/3/17,22:00,100 blk of ST MARYS RD,SEXUAL ABUSE-CRIMINAL,ADMIN. CLOSE,0
IF1700158,2/4/17,0:10,2/4/17,0:10,606 W ELM ST,VERBAL DOMESTIC,ADMIN CLOSED,0
II1700127,2/5/17,18:49,2/5/17,18:49,1500 blk of NEIL N,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
IF1700164,2/5/17,0:58,2/5/17,0:58,1215 S FOURTH,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,34
IF1700166,2/5/17,23:46,2/5/17,23:46,1005 GREGORY DR,DRUGS,STUDENT DISC REFERRAL,32
IF1700168,2/5/17,2:38,2/5/17,2:38,204 E PEABODY DR,LIQUOR - UNDERAGE,ADMIN CLOSED,39
II1700130,2/6/17,14:49,2/6/17,14:48,PARKING LOT E-11,DOMESTIC DISPUTE,PENDING,17
IF1700167,2/6/17,23:13,2/6/17,23:13,905 W PENNSYLVANIA AV,DRUGS,STUDENT DISC REFERRAL,41
00246-2017,2/6/17,9:38,2/4/17,0:19,BABCOCK RES HALL,LIQUOR-UNDERAGE,STUDENT DISCIPLINE,41
CSA17-16,2/6/17,16:34,2/4/17,UNKNOWN,FRATERNITY HOUSE,RAPE,ADMIN CLOSED,0
II1700134,2/7/17,14:45,2/7/17,12:30,IKENBERRY DINING HALL,THEFT $500 AND UNDER,UNFOUNDED,34
II1700140,2/7/17,21:36,2/7/17,21:36,NEVADA ST W / GOODWIN AVE,WARRANT-IN STATE,ARREST,50
II1700137,2/7/17,15:03,12/15/12,0:01,TALBOT LAB,TRESPASS-STATE SUPPORTED LAND,PENDING,11
IF1700175,2/7/17,23:18,2/7/17,23:18,1213 S FOURTH ST,DRUGS,STUDENT DISC REFERRAL,34
IF1700177,2/7/17,19:44,2/7/17,19:44,1409 W GREEN,LARCENY,ADMIN CLOSED,0
CSA17-17,2/7/17,8:37,12/1-31/2016,21:17,200 BLK PEABODY DR,FONDLING,ADMIN CLOSED,34
II1700142,2/8/17,18:04,2/8/17,18:04,UNIVERSITY / FIFTH,WARRANT-IN STATE,ARREST,36
IF1700182,2/9/17,0:16,2/9/17,0:16,1208 S FIRST ST,LIQUOR - UNDERAGE,ADMIN CLOSED,34
IF1700187,2/9/17,22:08,2/9/17,22:08,701 S GREGORY ST,STALKING,ADMIN CLOSED,25
CSA17-20,2/9/17,10:47,2015,UNKNOWN,UNIVERSITY HOUSING FACILITY,RAPE,ADMIN CLOSED,34
CSA17-23,2/9/17,12:23,2/7/17,UNKNOWN,200 BLK E ARMORY,RAPE,ADMIN CLOSED,0
CSA17-26,2/9/17,18:42,1/31/17,2:00,900 BLK THIRD ST,RAPE,ADMIN CLOSED,0
IF1700192,2/10/17,22:08,2/10/17,22:08,901 W COLLEGE CT,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,41
00280-2017,2/10/17,11:18,2/8/17,1:20,TOWNSEND RES HALL,DRUGS,ADMIN CLOSED,16
II1700164,2/11/17,21:59,2/11/17,21:59,ARMORY E / FOURTH,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
IF1700199,2/11/17,17:30,2/11/17,17:30,202 PEABODY DR,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,34
IF1700208,2/11/17,23:17,2/11/17,23:17,901 COLLEGE CT,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,41
II1700166,2/12/17,17:47,2/12/17,3:35,200 blk of PEABODY DR E,SEXUAL-ASSAULT-CRIMINAL,CLEARED EXCEPT. PROS. FAIL TO,34
IF1700202,2/12/17,0:33,2/12/17,0:33,301 GREGORY DR,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,34
IF1700207,2/12/17,2:00,2/12/17,2:00,1625 S FIRST ST,DRUGS,STUDENT DISC REFERRAL,43
CSA17-31,2/12/17,22:35,2/11/17,4:00,202 E CHALMERS,DOMESTIC OFFENSE,ADMIN CLOSED,0
II1700167,2/13/17,8:58,2/10/17,16:00,2000 blk of LINCOLN AVE S,THEFT OVER $500,ADMIN. CLOSE,0
II1700172,2/14/17,16:48,2/14/17,16:48,IL DEPARTMENT OF HEALTH,THEFT OVER $500,UNFOUNDED,0
IF1700214,2/14/17,0:20,2/14/17,0:20,508 E CHALMERS ST,LIQUOR - UNDERAGE,ADMIN CLOSED,22
00308-2017,2/14/17,10:03,2/14/17,0:00,BOUSFIELD RES HALL,DRUGS,ADMIN CLOSED,34
00310-2017,2/14/17,12:58,2/11/17,15:40,NUGENT RES HALL,DECEPTIVE PRACTICES,ADMIN CLOSED,34
II1700178,2/16/17,4:17,2/16/17,4:17,FLORIDA AVE W / LINCOLN AVE,WARRANT-IN STATE,ARREST,40
IF1700218,2/16/17,2:37,2/16/17,2:37,909 S FIFTH,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,21
IF1700223,2/16/17,0:01,2/16/17,0:01,211 E GREEN,LIQUOR - UNDERAGE,ADMIN CLOSED,0
IF1700231,2/17/17,23:31,2/17/17,23:31,408 PEABODY,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,35
IF1700234,2/17/17,20:51,2/17/17,20:51,211 GREEN ST,LIQUOR - UNDERAGE,ADMIN CLOSED,0
CSA17-29,2/17/17,7:07,3/1/15,UNKNOWN,UNKNOWN RESIDENCE HALL,FONDLING,ADMIN CLOSED,34
II1700196,2/18/17,19:25,2/18/17,18:45,1200 blk of FIRST ST S,SEXUAL-ASSAULT-CRIMINAL,CLEARED EXCEPT. PROS. FAIL TO,0
IT1700096,2/18/17,21:17,2/18/17,21:16,ASHTON WOODS,CANNABIS POSS 10 GM OR LESS -ORD,ARREST,0
II1700227,2/18/17,11:23,2/17/17,21:00,600 blk of DANIELS ST E,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,18
IF1700246,2/18/17,18:15,2/18/17,18:15,2319 S FIRST ST,LARCENY,ADMIN CLOSED,0
II1700199,2/19/17,17:52,2/19/17,17:52,GREEN ST E / LOCUST ST,WARRANT-IN STATE,ARREST,0
IF1700244,2/19/17,0:42,2/19/17,0:42,ARBOR / ARMORY,LIQUOR - UNDERAGE,ADMIN CLOSED,0
IF1700247,2/19/17,1:01,2/19/17,1:01,1005 S LINCOLN AV,LIQUOR - UNDERAGE,ADMIN CLOSED,32
IF1700248,2/19/17,2:30,2/19/17,2:30,1001 W PENNSYLVANIA AV,DRUGS/LIQUOR,ADMIN CLOSED,32
CSA17-32,2/19/17,9:41,2/18/17,13:00,600 BLK DANIEL ST,RAPE,ADMIN CLOSED,18
II1700203,2/20/17,10:04,2/16/17,23:00,ELECTRICAL AND COMPUTER,DISORDERLY CONDUCT-ALL OTHER,ADMIN. CLOSE,1
CC1700675,2/20/17,0:00,7/4/16,0:01,LATEA LOUNGE,FRAUD-CREDIT CARD,REPORTED TO OTHER AGENCY,0
CC1701484,2/20/17,0:00,2/17/17,21:00,KAPPA ALPHA THETA,HOME INVASION,REPORTED TO OTHER AGENCY,23
00341-2017,2/20/17,9:24,2/17/17,1:00,FLORIDA AVE RES HALL,LIQUOR-UNDERAGE,STUDENT DISCIPLINE,41
II1700210,2/21/17,13:15,1/28/17,12:00,WINDSOR OF SAVOY,THEFT OVER $500,ADMIN. CLOSE,0
IF1700258,2/21/17,2:35,2/21/17,2:35,1213 FOURTH ST,DRUGS/LIQUOR,ADMIN CLOSED,34
00364-2017,2/21/17,14:04,2/17/17,12:55,ISR DINING HALL,LARCENY,ADMIN CLOSED,16
CSA17-33,2/21/17,20:33,9/4/15,23:00,UNKNOWN UNIVERSITY RESIDENCE,RAPE,ADMIN CLOSED,34
CC1700566,2/22/17,0:00,1/21/17,1:55,500 blk of S CHESTNUT ST,ACCIDENT INVOLVING PEDESTRIAN,REPORTED TO OTHER AGENCY,0
CC1700876,2/22/17,0:00,1/29/17,15:27,GAMEDAY SPORTS,THEFT-RETAIL,REPORTED TO OTHER AGENCY,0
CC1700593,2/22/17,0:00,1/21/17,22:19,blk of E SPRINGFIELD,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
IT1700104,2/22/17,21:25,2/22/17,21:25,ART AND DESIGN BUILDING,CANNABIS POSS 10 GM OR LESS -ORD,ARREST,35
CC1700525,2/22/17,0:00,3/25/16,0:01,HEARTLAND HEALTHCARD,THEFT OVER $500,REPORTED TO OTHER AGENCY,0
CC1701055,2/22/17,0:00,2/4/17,18:46,ILLINI TERMINAL,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1700946,2/22/17,0:00,1/30/17,22:00,500 blk of E CLARK ST,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
CC1701127,2/22/17,0:00,2/6/17,16:30,MARRIOT HOTEL,DISORDERLY CONDUCT-ALL OTHER,REPORTED TO OTHER AGENCY,0
CC1701241,2/22/17,0:00,1/30/17,0:01,500 blk of E SPRINGFIELD AV,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
CC1700715,2/22/17,0:00,1/24/17,8:00,100 blk of E UNIVERSITY AV,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1701291,2/22/17,0:00,2/11/17,21:57,600 blk of E ARMORY,RESIST/OBS CORRECT/POLICE/FIRE,REPORTED TO OTHER AGENCY,29
CC1700766,2/22/17,0:00,1/25/17,11:42,200 blk of S WRIGHT ST,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,11
II1700216,2/22/17,0:11,2/22/17,0:11,UNIVERSITY AV / LINCOLN AVE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
CC1700493,2/22/17,0:00,1/18/17,1:00,500 blk of FOURTH ST S,THROW DANGEROUS MATERIALS,REPORTED TO OTHER AGENCY,0
II1700218,2/22/17,2:21,2/22/17,2:21,LINCOLN AVE N / HILL ST,DRIVING UNDER THE INFL-ALCOHOL,ARREST,0
CC1700788,2/22/17,0:00,1/26/17,11:00,600 blk of E STOUGHTON ST,THEFT OVER $500,REPORTED TO OTHER AGENCY,0
CSA17-40,2/22/17,20:41,2/22/17,14:19,ON CAMPUS RESIDENCE HALL,STALKING,ADMIN CLOSED,34
00399-2017,2/23/17,21:39,2/22/17,18:45,ASHTON WOODS RES,DRUGS,STUDENT DISCIPLINE,0
II1700238,2/24/17,12:46,2/23/17,12:30,GREGORY S / SPRINGFIELD,BURGLARY FROM MOTOR VEHICLE,STUDENT DISCIPLINE REFERRAL,16
IT1700107,2/24/17,22:06,2/24/17,22:06,GOODWIN GREEN APARTMENTS,POSS OF DRUG PARAPHERNALIA -ORD,ARREST,16
IF1700279,2/24/17,2:29,2/24/17,2:29,FIFTH ST / DANIEL ST,LIQUOR - UNDERAGE,ADMIN CLOSED,22
IF1700288,2/24/17,2:13,2/24/17,2:13,GREEN / FOURTH,VERBAL DOMESTIC,ADMIN CLOSED,0
IF1700290,2/24/17,2:24,2/24/17,2:24,500 E GREEN ST,LIQUOR - UNDERAGE,ADMIN CLOSED,0
IF1700294,2/24/17,23:55,2/24/17,23:55,202 E PEABODY,DRUGS,STUDENT DISC REFERRAL,34
IF1700291,2/25/17,15:25,2/25/17,15:25,918 W ILLINOIST ST,DRUGS,STUDENT DISC REFERRAL,16
II1700252,2/26/17,12:52,2/26/17,12:52,13100 blk of GRAPE CREEK RD,ASSIST OTHER GOVT AGENCY/EOD,ADMIN. CLOSE,0
II1700249,2/26/17,2:39,2/26/17,2:39,WRIGHT / GREEN,DRIVING UNDER THE INFL-ALCOHOL,ARREST,47
IF1700292,2/26/17,3:34,2/26/17,3:34,1001 W PENNSYLVANIA,LIQUOR - UNDERAGE,ADMIN CLOSED,32
IF1700295,2/26/17,1:10,2/26/17,1:10,FIFTH / JOHN,VERBAL DOMESTIC,ADMIN CLOSED,17
II1700256,2/27/17,8:10,2/13/17,8:00,ILLINI FORREST PLANTATION,TRESPASS-STATE SUPPORTED LAND,ADMIN. CLOSE,0
II1700258,2/27/17,10:36,2/24/17,17:30,800 blk of WRIGHT ST S,THEFT $500 AND UNDER,PENDING,47
CSA17-46,2/27/17,9:59,2/18/17,0:50,OFF CAMPUS - PRIV APT,RAPE,ADMIN CLOSED,0
IF1700304,2/28/17,1:45,2/28/17,1:45,500 E DANIEL ST,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,22
IF1700306,3/1/17,1:10,3/1/17,1:10,202 E PEABODY DR,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,34
LT16-004,3/3/17,11:45,09/01-03/2016,UNKNOWN,"4799 SW LOOP 820, FORT WORTH, TX",BURGALRY,REPORTED TO OTHER AGENCY,0
IF1700328,3/3/17,23:59,3/3/17,23:59,507 E GREEN,SIMPLE BATTERY,ADMIN CLOSED,0
IF1700329,3/3/17,23:46,3/3/17,23:46,600 E GREEN,SIMPLE BATTERY,ADMIN CLOSED,14
IF1700323,3/3/17,17:07,3/3/17,17:07,FOURTH / DANIEL,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,0
CSA17-47,3/3/17,11:47,3/3/17,7:39,CENTER FOR WOUNDED VETERANS,RAPE,ADMIN CLOSED,26
II1700287,3/4/17,0:31,3/4/17,0:31,GREEN ST E / SIXTH ST,WARRANT-IN STATE,ARREST,14
IF1700331,3/4/17,0:32,3/4/17,0:32,310 E SPRINGFIELD,LIQUOR - UNDERAGE,ADMIN CLOSED,0
IF1700342,3/4/17,18:19,3/4/17,18:19,909 S FIFTH ST,DRUGS,STUDENT DISC REFERRAL,21
IF1700347,3/4/17,18:20,3/4/17,18:20,104 S MATHEWS AV,LIQUOR - UNDERAGE,STUDENT DISC REFERRAL,12
IT1700127,3/5/17,21:32,3/5/17,21:32,SIXTH ST / PEABODY DR,POSS OF DRUG PARAPHERNALIA -ORD,ARREST,36
II1700296,3/5/17,2:24,3/5/17,2:10,LOCUST / JOHN,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
IF1700343,3/5/17,18:15,3/5/17,18:15,1205 S FOURTH ST,DRUGS,STUDENT DISC REFERRAL,34
IF1700346,3/5/17,18:57,3/5/17,18:57,1102 GREGORY DR,LARCENY,ADMIN CLOSED,50
00499-2017,3/5/17,17:32,3/3/17,11:40,CARR RES HALL,DRUGS,ADMIN CLOSED,41
II1700414,3/6/17,12:34,3/4/17,11:30,200 blk of WACKER DR S,HARASSMENT BY ELECTRONIC COMMUNICAT,PENDING,0
LT16-001,3/6/17,8:53,6/14/16,UNKNOWN,"940 W Weddell Drive, Sunnyvale, CA",Drug Arrest,REPORTED TO OTHER AGENCY,0
LT16-002,3/6/17,7:47,12/10-15/2016,UNKNOWN,"3730 S LAS VEGAS BLVD, LAS VEGAS,",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
LT16-003,3/6/17,7:47,02/16-21/2016,UNKNOWN,"1 MAIN STREET, LAS VEGAS, NEVADA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
II1700314,3/7/17,20:24,3/7/17,20:24,COUNTRY FAIR DR / CONE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1700313,3/7/17,19:49,3/7/17,13:30,ILLINI HALL,THEFT $500 AND UNDER,ADMIN. CLOSE,14
LT16-005,3/7/17,8:00,1/15/16,1:16,"315 MAGAZINE ST, NEW ORLEANS,",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
IF1700354,3/7/17,3:02,3/7/17,3:02,1110 SPRINGFIELD AV,PUBLIC URINATION,ADMIN CLOSED,0
IF1700361,3/7/17,22:43,3/7/17,22:43,300 E JOHN ST,PUBLIC POSSESSION OF ALCOHOL,ADMIN CLOSED,0
IF1700367,3/8/17,13:45,3/8/17,13:45,805 S MATHEWS AV,CRIMINAL DAMAGE,ADMIN CLOSED,47
IF1700377,3/9/17,2:55,3/9/17,2:55,1205 S FOURTH,LIQUOR - UNDERAGE,ADMIN CLOSED,34
