incidentID,reportedAt,occuredAt,disposition,crimeTypeID
II1300110,2013-1-24 18:35:00,2013-1-18 17:00:00,ADMIN. CLOSE,751
II1300115,2013-1-24 19:20:00,2013-1-24 19:20:00,PENDING,490
CC1300485,2013-1-24 0:00:00,2013-1-18 0:52:00,REPORTED TO OTHER,803
CC1300530,2013-1-24 0:00:00,2013-1-19 2:22:00,REPORTED TO OTHER,483
CC1300578,2013-1-24 0:00:00,2013-1-19 17:00:00,REPORTED TO OTHER,604
CC1300544,2013-1-24 0:00:00,2013-1-19 0:01:00,REPORTED TO OTHER,302
CC1300541,2013-1-24 0:00:00,2013-1-18 10:30:00,REPORTED TO OTHER,302
252-2013,2013-1-24 9:14:00,2013-1-23 20:45:00,STUDENT DISCIPLINE,698
II1300118,2013-1-25 8:31:00,2013-1-25 8:31:00,ARREST,850
CC1300574,2013-1-25 0:00:00,2012-8-24 22:00:00,REPORTED TO OTHER,773
CC1300648,2013-1-25 0:00:00,2013-1-19 0:30:00,REPORTED TO OTHER,604
CC1300640,2013-1-25 0:00:00,2013-1-23 5:20:00,REPORTED TO OTHER,633
CC1300582,2013-1-25 0:00:00,2013-1-20 16:57:00,REPORTED TO OTHER,604
CC1300532,2013-1-25 0:00:00,2013-1-19 2:39:00,REPORTED TO OTHER,302
CC1300632,2013-1-25 0:00:00,2013-1-22 17:58:00,REPORTED TO OTHER,604
263-2013,2013-1-25 9:58:00,2013-1-24 19:19:00,STUDENT DISCIPLINE,617
273-2013,2013-1-25 9:00:00,2013-1-16 4:00:00,STUDENT DISCIPLINE,401
II1300121,2013-1-26 9:03:00,2013-1-26 9:03:00,ARREST,306
II1300122,2013-1-26 11:22:00,2013-1-26 11:22:00,ADMIN. CLOSE,329
CC1300660,2013-1-26 0:00:00,2012-1-23 16:00:00,REPORTED TO OTHER,604
CC1300629,2013-1-26 0:00:00,2013-1-21 8:00:00,REPORTED TO OTHER,845
CC1300612,2013-1-26 0:00:00,2013-1-22 0:15:00,REPORTED TO OTHER,604
II1300123,2013-1-27 0:25:00,2013-1-27 0:25:00,ARREST,490
II1300125,2013-1-27 16:22:00,2013-1-27 16:21:00,ARREST,350
II1300114,2013-1-27 20:30:00,2013-1-27 20:30:00,PENDING,816
283-2013,2013-1-28 9:53:00,2013-1-27 2:10:00,STUDENT DISCIPLINE,689
II1300134,2013-1-29 11:48:00,2013-1-22 0:00:00,ADMIN. CLOSE,462
II1300138,2013-1-29 16:50:00,2013-1-29 16:50:00,ARREST,306
II1300136,2013-1-29 0:06:00,2013-1-20 17:00:00,ADMIN. CLOSE,751
CC1300571,2013-1-29 0:00:00,2013-1-20 4:30:00,REPORTED TO OTHER,302
II1300140,2013-1-30 11:30:00,2013-1-30 11:30:00,ADMIN. CLOSE,329
II1300143,2013-1-30 16:52:00,2013-1-30 16:52:00,ARREST,306
CC1300756,2013-1-30 0:00:00,2013-1-25 21:30:00,REPORTED TO OTHER,302
CC1300718,2013-1-30 0:00:00,2013-1-23 0:01:00,REPORTED TO OTHER,302
II1300149,2013-1-31 23:35:00,2013-1-31 23:35:00,STUDENT DISCIPLINE,350
II1300148,2013-1-31 23:06:00,2013-1-31 23:06:00,STUDENT DISCIPLINE,350
CC1300716,2013-1-31 0:00:00,2013-1-15 0:00:00,REPORTED TO OTHER,604
UU1300451,2013-1-31 0:00:00,2013-1-29 13:10:00,REPORTED TO OTHER,504
249-2013,2013-1-31 10:15:00,2013-1-23 20:45:00,STUDENT DISCIPLINE,698
314-2013,2013-1-31 14:19:00,2013-1-30 18:00:00,STUDENT DISCIPLINE,689
305-2013,2013-1-31 9:41:00,2013-1-29 1:30:00,STUDENT DISCIPLINE,764
II1300160,2013-2-1 21:40:00,2013-2-1 21:40:00,ARREST,643
II1300162,2013-2-2 2:13:00,2013-2-2 2:13:00,ARREST,695
II1300163,2013-2-2 13:30:00,2013-2-1 11:00:00,UNFOUNDED,343
II1300168,2013-2-2 22:17:00,2013-2-2 22:17:00,ARREST,746
II1300166,2013-2-2 20:27:00,2013-2-2 20:27:00,ARREST,418
II1300169,2013-2-2 22:48:00,2013-2-2 22:48:00,ADMIN. CLOSE,377
II1300167,2013-2-2 20:49:00,2013-2-2 20:49:00,ADMIN. CLOSE,704
II1300172,2013-2-3 15:20:00,2013-2-3 15:20:00,ARREST,350
II1300173,2013-2-4 2:23:00,2013-2-4 2:23:00,ARREST,695
II1300178,2013-2-4 18:53:00,2013-2-4 18:53:00,ARREST,400
II1300180,2013-2-4 21:29:00,2013-2-4 21:29:00,STUDENT DISCIPLINE,350
CC1300782,2013-2-4 0:00:00,2013-1-27 1:30:00,REPORTED TO OTHER,556
CC1300807,2013-2-4 0:00:00,2013-1-28 1:30:00,REPORTED TO OTHER,483
CC1300760,2013-2-4 0:00:00,2013-1-26 15:35:00,REPORTED TO OTHER,717
CC1300945,2013-2-4 0:00:00,2013-2-1 23:00:00,REPORTED TO OTHER,689
CC1300948,2013-2-4 0:00:00,2013-2-1 21:15:00,REPORTED TO OTHER,699
CC1300944,2013-2-4 0:00:00,2013-2-1 22:40:00,REPORTED TO OTHER,689
CC1300806,2013-2-4 0:00:00,2013-1-27 18:00:00,REPORTED TO OTHER,604
CC1300781,2013-2-4 0:00:00,2013-1-27 1:30:00,REPORTED TO OTHER,302
344-2013,2013-2-4 9:56:00,2013-2-4 2:20:00,STUDENT DISCIPLINE,617
II1300141,2013-2-5 0:45:00,2013-1-30 0:45:00,ADMIN. CLOSE,329
CC1300946,2013-2-5 0:00:00,2013-2-1 23:25:00,REPORTED TO OTHER,689
CC1300947,2013-2-5 0:00:00,2013-2-1 23:40:00,REPORTED TO OTHER,689
CC1300950,2013-2-5 0:00:00,2013-2-2 0:20:00,REPORTED TO OTHER,689
CC1300813,2013-2-5 0:00:00,2013-1-27 3:00:00,REPORTED TO OTHER,302
CC1300920,2013-2-5 0:00:00,2013-2-1 1:17:00,REPORTED TO OTHER,773
CC1300905,2013-2-5 0:00:00,2012-12-1 22:00:00,REPORTED TO OTHER,773
CC1300900,2013-2-5 0:00:00,2013-2-1 1:15:00,REPORTED TO OTHER,302
II1300186,2013-2-6 8:28:00,2013-2-6 8:28:00,ADMIN. CLOSE,329
II1300192,2013-2-6 18:40:00,2013-2-6 18:40:00,ADMIN. CLOSE,428
II1300191,2013-2-6 22:43:00,2013-2-6 22:43:00,ARREST,816
II1300193,2013-2-6 22:58:00,2013-2-6 22:58:00,STUDENT DISCIPLINE,350
CC1300949,2013-2-6 0:00:00,2013-2-1 23:40:00,REPORTED TO OTHER,689
CC1300951,2013-2-6 0:00:00,2013-2-2 1:00:00,REPORTED TO OTHER,689
CC1300958,2013-2-6 0:00:00,2013-2-2 2:45:00,REPORTED TO OTHER,556
CC1300985,2013-2-6 0:00:00,2013-2-3 1:05:00,REPORTED TO OTHER,556
CC1301046,2013-2-6 0:00:00,2013-2-5 14:21:00,REPORTED TO OTHER,604
CC1300999,2013-2-6 0:00:00,2013-2-1 7:00:00,REPORTED TO OTHER,604
CC1300968,2013-2-6 0:00:00,2013-2-2 10:40:00,REPORTED TO OTHER,604
II1300195,2013-2-7 1:26:00,2013-2-7 1:26:00,ARREST,848
II1300194,2013-2-7 0:31:00,2013-2-7 0:31:00,ARREST,736
II1300198,2013-2-7 13:46:00,2013-2-7 13:46:00,ADMIN. CLOSE,499
II1300197,2013-2-7 11:00:00,2013-1-25 0:00:00,ADMIN. CLOSE,751
II1300199,2013-2-7 22:09:00,2013-2-7 22:09:00,STUDENT DISCIPLINE,816
II1300234,2013-2-7 21:27:00,2013-2-7 21:00:00,ARREST,423
II1300203,2013-2-8 8:45:00,2013-2-7 17:00:00,ADMIN. CLOSE,831
II1300205,2013-2-8 0:43:00,2013-2-1 23:05:00,PENDING,341
II1300209,2013-2-8 20:42:00,2013-2-8 20:42:00,ADMIN. CLOSE,377
CC1205368,2013-2-8 0:00:00,2012-5-29 2:50:00,REPORTED TO OTHER,385
CC1301051,2013-2-8 0:00:00,2013-2-5 17:45:00,REPORTED TO OTHER,765
II1300211,2013-2-9 1:57:00,2013-2-9 1:57:00,ARREST,350
II1300210,2013-2-9 1:57:00,2013-2-9 1:57:00,ARREST,643
II1300213,2013-2-9 13:17:00,2013-2-9 13:17:00,ARREST,306
II1300212,2013-2-9 0:31:00,2013-2-7 17:00:00,ARREST,343
CC1301064,2013-2-9 0:00:00,2013-2-6 2:16:00,REPORTED TO OTHER,717
II1300217,2013-2-10 1:49:00,2013-2-10 1:49:00,ARREST,335
II1300218,2013-2-10 2:16:00,2013-2-10 2:15:00,ARREST,786
II1300219,2013-2-10 16:49:00,2013-2-10 16:00:00,UNFOUNDED,751
II1300222,2013-2-10 18:15:00,2013-2-10 18:15:00,ADMIN. CLOSE,722
II1300224,2013-2-10 22:07:00,2013-2-10 22:07:00,ADMIN. CLOSE,377
II1300225,2013-2-10 23:36:00,2013-2-10 23:35:00,PENDING,350
CC1301063,2013-2-10 0:00:00,2013-2-6 1:43:00,REPORTED TO OTHER,689
II1300226,2013-2-11 0:29:00,2013-1-31 0:01:00,PENDING,828
II1300229,2013-2-11 13:19:00,2013-2-8 14:30:00,ADMIN. CLOSE,382
II1300231,2013-2-11 23:15:00,2013-2-11 23:15:00,ADMIN. CLOSE,377
CC1301074,2013-2-11 0:00:00,2013-2-5 22:00:00,REPORTED TO OTHER,302
229-2013,2013-2-11 13:43:00,2013-1-22 19:50:00,STUDENT DISCIPLINE,610
II1300233,2013-2-12 0:29:00,2013-2-11 9:00:00,ADMIN. CLOSE,751
II1300236,2013-2-12 23:58:00,2013-2-12 23:58:00,ARREST,537
II1300237,2013-2-13 2:25:00,2013-2-13 1:40:00,ARREST,382
II1300242,2013-2-13 15:30:00,2013-2-13 14:00:00,UNFOUNDED,751
II1300245,2013-2-13 19:18:00,2013-2-13 0:00:00,PENDING,382
II1300248,2013-2-13 23:59:00,2013-2-13 23:59:00,ARREST,579
II1300243,2013-2-13 16:19:00,2013-2-7 17:00:00,ADMIN. CLOSE,751
II1300239,2013-2-13 11:01:00,2013-2-12 0:01:00,ADMIN. CLOSE,382
CC1301288,2013-2-13 0:00:00,2013-2-13 2:25:00,REPORTED TO OTHER,483
CC1301093,2013-2-13 0:00:00,2013-2-7 1:27:00,REPORTED TO OTHER,653
424-2013,2013-2-13 11:07:00,2013-2-9 1:45:00,STUDENT DISCIPLINE,689
II1300253,2013-2-14 17:10:00,2013-2-14 17:10:00,ARREST,306
II1300255,2013-2-14 23:42:00,2013-2-14 23:42:00,PENDING,374
CC1301136,2013-2-14 0:00:00,2012-12-8 22:30:00,REPORTED TO OTHER,773
CC1301169,2013-2-14 0:00:00,2013-2-8 20:00:00,REPORTED TO OTHER,302
458-2013,2013-2-14 11:28:00,2013-2-2 9:36:00,STUDENT DISCIPLINE,642
II1300256,2013-2-15 2:12:00,2013-2-15 2:12:00,ARREST,695
II1300262,2013-2-15 0:01:00,2013-2-15 0:01:00,ADMIN. CLOSE,751
II1300258,2013-2-15 7:33:00,2013-2-15 2:00:00,ADMIN. CLOSE,751
II1300257,2013-2-15 2:30:00,2013-2-15 2:30:00,ARREST,306
II1300270,2013-2-15 23:24:00,2013-2-15 23:24:00,ARREST,306
II1300269,2013-2-15 20:50:00,2013-2-15 20:50:00,ARREST,350
CC1301160,2013-2-15 0:00:00,2013-2-9 2:23:00,REPORTED TO OTHER,822
CC1301170,2013-2-15 0:00:00,2013-2-8 21:00:00,REPORTED TO OTHER,302
CC1301157,2013-2-15 0:00:00,2013-2-9 1:10:00,REPORTED TO OTHER,302
CC1301180,2013-2-15 0:00:00,2013-2-9 17:22:00,REPORTED TO OTHER,604
CC1301214,2013-2-15 0:00:00,2013-2-9 21:00:00,REPORTED TO OTHER,604
CC1301164,2013-2-15 0:00:00,2013-2-9 2:05:00,REPORTED TO OTHER,302
461-2013,2013-2-15 16:20:00,2013-2-14 21:05:00,STUDENT DISCIPLINE,617
II1300271,2013-2-16 0:20:00,2013-2-16 0:20:00,ARREST,306
II1300276,2013-2-16 13:24:00,2013-2-16 13:24:00,ADMIN. CLOSE,382
II1300279,2013-2-16 16:52:00,2013-2-16 16:52:00,STUDENT DISCIPLINE,475
II1300280,2013-2-16 17:42:00,2013-2-16 17:38:00,PENDING,751
CC1301132,2013-2-16 0:00:00,2013-2-8 10:52:00,REPORTED TO OTHER,330
CC1301248,2013-2-16 0:00:00,2013-1-21 15:00:00,REPORTED TO OTHER,596
II1300284,2013-2-17 1:47:00,2013-2-17 1:47:00,CLEARED EXCEPT.,786
II1300286,2013-2-17 2:30:00,2013-2-17 2:30:00,ADMIN. CLOSE,495
II1300285,2013-2-17 1:48:00,2013-2-17 1:48:00,ARREST,695
II1300290,2013-2-17 23:09:00,2013-2-17 23:09:00,ADMIN. CLOSE,382
II1300292,2013-2-17 23:42:00,2013-2-17 23:42:00,ARREST,306
CC1301398,2013-2-17 0:00:00,2013-2-16 14:42:00,REPORTED TO OTHER,698
II1300291,2013-2-18 23:08:00,2013-2-18 23:08:00,ADMIN. CLOSE,377
II1300297,2013-2-18 15:02:00,2013-2-18 15:02:00,ADMIN. CLOSE,831
II1300301,2013-2-19 10:12:00,2013-2-18 17:00:00,ADMIN. CLOSE,831
CC1301456,2013-2-19 0:00:00,2013-2-18 20:00:00,REPORTED TO OTHER,717
CC1301431,2013-2-19 0:00:00,2013-2-17 16:12:00,REPORTED TO OTHER,604
515-2013,2013-2-19 16:53:00,2013-2-15 1:00:00,STUDENT DISCIPLINE,401
II1300311,2013-2-20 16:14:00,2011-7-25 0:01:00,PENDING,354
II1300308,2013-2-20 13:40:00,2013-2-11 6:00:00,ARREST,748
CC1301042,2013-2-20 0:00:00,2013-2-5 9:15:00,REPORTED TO OTHER,302
CC1301112,2013-2-20 0:00:00,2013-2-7 13:00:00,REPORTED TO OTHER,604
CC1301347,2013-2-20 0:00:00,2013-2-14 23:00:00,REPORTED TO OTHER,302
CC1301372,2013-2-20 0:00:00,2013-2-13 23:20:00,REPORTED TO OTHER,689
CC1301414,2013-2-20 0:00:00,2013-2-16 23:25:00,REPORTED TO OTHER,689
CC1301392,2013-2-20 0:00:00,2013-2-16 3:00:00,REPORTED TO OTHER,302
CC1301422,2013-2-20 0:00:00,2012-2-17 2:16:00,REPORTED TO OTHER,302
II1300315,2013-2-21 1:10:00,2013-2-21 1:10:00,ARREST,695
II1300318,2013-2-21 13:43:00,2013-2-21 13:43:00,ADMIN. CLOSE,828
II1300321,2013-2-21 18:39:00,2013-2-20 13:00:00,UNFOUNDED,354
II1300325,2013-2-22 16:55:00,2013-2-22 16:55:00,ARREST,306
II1300326,2013-2-22 16:57:00,2013-2-22 16:57:00,ADMIN. CLOSE,831
CC1301427,2013-2-22 0:00:00,2013-2-16 22:30:00,REPORTED TO OTHER,604
CC1301393,2013-2-22 0:00:00,2013-2-14 21:15:00,REPORTED TO OTHER,604
CC1301381,2013-2-22 0:00:00,2013-2-16 2:17:00,REPORTED TO OTHER,556
II1300331,2013-2-23 15:19:00,2013-2-23 15:19:00,ARREST,850
II1300332,2013-2-23 19:42:00,2013-2-23 19:42:00,ARREST,306
II1300334,2013-2-24 13:40:00,2013-2-24 13:40:00,ARREST,306
II1300338,2013-2-24 22:22:00,2013-2-22 9:00:00,ADMIN. CLOSE,343
CC1301483,2013-2-24 0:00:00,2013-2-19 8:00:00,REPORTED TO OTHER,302
CC1301383,2013-2-24 0:00:00,2013-2-16 1:30:00,REPORTED TO OTHER,302
II1300345,2013-2-25 17:58:00,2013-2-25 17:58:00,ARREST,306
II1300357,2013-2-25 0:26:00,2013-2-13 8:41:00,ARREST,824
CC1301571,2013-2-25 0:00:00,2013-2-22 22:11:00,REPORTED TO OTHER,364
CC1301534,2013-2-25 0:00:00,2013-2-21 14:30:00,REPORTED TO OTHER,302
CC1301515,2013-2-25 0:00:00,2013-2-20 19:55:00,REPORTED TO OTHER,302
UU1300770,2013-2-25 0:00:00,2013-2-17 0:31:00,REPORTED TO OTHER,689
II1300351,2013-2-26 2:48:00,2013-2-26 2:48:00,ARREST,579
II1300354,2013-2-26 11:29:00,2013-2-26 11:29:00,ADMIN. CLOSE,517
II1300355,2013-2-26 16:44:00,2013-2-26 16:44:00,PENDING,714
II1300353,2013-2-26 15:00:00,2013-2-26 15:00:00,ADMIN. CLOSE,751
UU1300767,2013-2-26 0:00:00,2013-2-16 22:34:00,REPORTED TO OTHER,689
II1300361,2013-2-27 14:20:00,2013-2-27 8:25:00,PENDING,492
II1300371,2013-2-28 6:02:00,2013-2-28 6:02:00,ARREST,306
II1300374,2013-2-28 19:12:00,2013-2-28 19:12:00,ARREST,816
II1300376,2013-2-28 22:50:00,2013-2-28 22:50:00,ARREST,306
CC1301654,2013-2-28 0:00:00,2013-2-24 0:20:00,REPORTED TO OTHER,604
CC1301587,2013-2-28 0:00:00,2013-2-23 11:44:00,REPORTED TO OTHER,302
CC1301579,2013-2-28 0:00:00,2013-1-15 0:00:00,REPORTED TO OTHER,604
CC1301550,2013-2-28 0:00:00,2013-2-21 23:54:00,REPORTED TO OTHER,689
CC1301559,2013-2-28 0:00:00,2013-2-21 23:00:00,REPORTED TO OTHER,556
UU1300782,2013-2-28 0:00:00,2013-2-16 11:50:00,REPORTED TO OTHER,556
II1300377,2013-3-1 1:48:00,2013-3-1 1:48:00,ADMIN. CLOSE,329
II1300378,2013-3-1 2:03:00,2013-3-1 2:03:00,ARREST,352
II1300380,2013-3-1 9:53:00,2013-3-1 9:53:00,ARREST,602
II1300381,2013-3-1 10:08:00,2013-3-1 10:08:00,ARREST,602
II1300382,2013-3-1 10:37:00,2013-3-1 10:37:00,ARREST,352
II1300383,2013-3-1 11:21:00,2013-3-1 11:21:00,ARREST,602
II1300384,2013-3-1 11:18:00,2013-3-1 11:18:00,ARREST,393
II1300385,2013-3-1 11:35:00,2013-3-1 11:35:00,ARREST,602
II1300386,2013-3-1 0:04:00,2013-3-1 0:04:00,ARREST,602
II1300388,2013-3-1 13:26:00,2013-3-1 13:26:00,ARREST,393
II1300389,2013-3-1 13:48:00,2013-3-1 13:48:00,ARREST,602
II1300390,2013-3-1 16:00:00,2013-3-1 16:00:00,ARREST,602
II1300392,2013-3-1 15:22:00,2013-3-1 15:22:00,ARREST,393
II1300397,2013-3-1 17:20:00,2013-3-1 17:20:00,ARREST,602
II1300399,2013-3-1 20:39:00,2013-3-1 20:39:00,ARREST,393
II1300400,2013-3-1 20:25:00,2013-3-1 20:25:00,ARREST,536
II1300404,2013-3-1 22:41:00,2013-3-1 22:41:00,ARREST,374
II1300401,2013-3-1 21:18:00,2013-3-1 21:18:00,ARREST,786
II1300407,2013-3-1 23:36:00,2013-3-1 23:36:00,ARREST,350
II1300379,2013-3-1 8:01:00,2013-3-1 8:01:00,ARREST,816
II1300396,2013-3-1 16:50:00,2013-3-1 16:50:00,PENDING,462
CC1301693,2013-3-1 0:00:00,2013-2-26 21:00:00,REPORTED TO OTHER,604
CC1301715,2013-3-1 0:00:00,2013-2-9 1:00:00,REPORTED TO OTHER,302
CC1301807,2013-3-1 0:00:00,2013-3-1 19:50:00,REPORTED TO OTHER,689
CC1301792,2013-3-1 0:00:00,2013-3-1 14:34:00,REPORTED TO OTHER,689
CC1301782,2013-3-1 0:00:00,2013-3-1 11:12:00,REPORTED TO OTHER,689
CC1301785,2013-3-1 0:00:00,2013-3-1 0:15:00,REPORTED TO OTHER,689
CC1301791,2013-3-1 0:00:00,2013-3-1 13:59:00,REPORTED TO OTHER,657
CC1301802,2013-3-1 0:00:00,2013-3-1 17:18:00,REPORTED TO OTHER,556
CC1301793,2013-3-1 0:00:00,2013-3-1 14:30:00,REPORTED TO OTHER,657
