Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
IF1900076,1/26/19,2:07,1/26/19,2:07,OGLESBY RESIDENCE HALL,DRUGS,ADMIN CLOSED,41
IF1900078,1/26/19,1:43,1/26/19,1:43,PARKING LOT E-14,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,42
II1900101,1/26/19,6:06,1/26/19,6:06,SAUNDERS RESIDENCE HALL,DOMESTIC DISPUTE,PENDING,41
IF1900079,1/27/19,1:55,1/27/19,1:55,BABCOCK RESIDENCE HALL,DRUGS,ADMIN CLOSED,41
IF1900080,1/27/19,2:14,1/27/19,2:14,WARDALL RESIDENCE HALL,LIQUOR-UNDERAGE,ADMIN CLOSED,16
II1900107,1/27/19,16:19,1/27/19,15:50,GRAINGER LIBRARY,THEFT OVER $500,ADMIN. CLOSE,11
UU1900423,1/28/19,0:00,1/27/19,0:47,800 blk of NEVADA ST W,NOISE PROHIBITION,REPORTED TO OTHER AGENCY,0
CC1809650,1/29/19,0:00,12/2/18,3:29,900 blk of S OAK ST,BATTERY,REPORTED TO OTHER AGENCY,0
CC1809702,1/29/19,0:00,12/3/18,15:24,500 blk of E WHITE ST,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1809755,1/29/19,0:00,12/5/18,12:30,400 blk of E HEALEY ST,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1809758,1/29/19,0:00,12/5/18,12:59,400 blk of E HEALEY,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1809803,1/29/19,0:00,12/7/18,3:31,400 blk of E UNIVERSITY AV,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
CC1809823,1/29/19,0:00,12/6/18,17:55,500 blk of E GREEN ST,THEFT-RETAIL,REPORTED TO OTHER AGENCY,0
CC1809884,1/29/19,0:00,12/9/18,22:27,E KIRBY AVE / S FIRST ST,WARRANT-IN STATE,REPORTED TO OTHER AGENCY,43
CC1809975,1/29/19,0:00,12/12/18,19:08,HAMMERHEAD COFFEE,TRESPASSING,REPORTED TO OTHER AGENCY,0
CC1810020,1/29/19,0:00,12/14/18,2:37,500 blk of STOUGHTON ST,SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY,0
CC1810025,1/29/19,0:00,12/13/18,6:30,CIRCLE K,THEFT-RETAIL,REPORTED TO OTHER AGENCY,0
CC1810186,1/29/19,0:00,12/20/18,1:00,400 blk of E UNIVERSITY AVE,BURGLARY RESIDENTIAL,REPORTED TO OTHER AGENCY,0
CC1810334,1/29/19,0:00,12/26/18,18:13,SUBWAY,WARRANT-IN STATE,REPORTED TO OTHER AGENCY,0
CC1900534,1/29/19,0:00,1/22/19,23:57,500 blk of E UNIVERSITY AV,UNLAWFUL RESTRAINT,REPORTED TO OTHER AGENCY,0
UU1805917,1/29/19,0:00,12/1/18,14:00,900 blk of STOUGHTON ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,1
UU1900198,1/29/19,0:00,12/15/18,12:00,100 blk of GREGORY ST S,BURGLARY,REPORTED TO OTHER AGENCY,0
UU1900441,1/29/19,7:00,1/28/19,16:16,"405 S ORCHARD ST, URBANA",DISORDERLY CONDUCT,REPORTED TO OTHER AGENCY,0
CSA19-015,1/30/19,10:29,10/1/18,UNKNOWN,"300 BLK SPRINGFIELD AVE, CHAMPAIGN",FONDLING,ADMIN CLOSED,0
CC1900551,2/1/19,0:00,1/23/19,20:55,100 blk of E SPRINGFIELD AV,RECOVERED PROPERTY ONLY,REPORTED TO OTHER AGENCY,0
CC1900574,2/1/19,0:00,1/17/19,23:15,600 blk of E GREEN ST,THEFT OF LOST/MISLAID PROPERTY,REPORTED TO OTHER AGENCY,14
CC1900601,2/1/19,0:00,1/25/19,16:00,300 blk of E ARMORY AVE,THEFT OF LOST/MISLAID PROPERTY,REPORTED TO OTHER AGENCY,0
II1900128,2/1/19,13:33,1/28/19,17:09,MEDICAL SCIENCES BLDG,DECEPTIVE PRACTICES,ADMIN. CLOSE,15
CC1900773,2/2/19,7:00,2/2/19,2:30,"507 S SECOND ST, CHAMPAIGN",BATTERY,REPORTED TO OTHER AGENCY,0
II1900134,2/2/19,14:38,1/24/19,11:00,LINCOLN HALL,THEFT OVER $500,ADMIN. CLOSE,47
IF1900105,2/3/19,2:43,2/3/19,2:43,1200 BLK S FOURTH ST,DRUGS,ADMIN CLOSED,35
II1900135,2/3/19,2:04,2/3/19,2:04,UNIVERSITY AVE / BUSEY AVE,DRIVING UNDER THE INFL-ALCOHOL,ARREST,0
II1900144,2/4/19,14:51,4/1/18,8:00,SMALL ANIMAL CLINIC,BURGLARY RESIDENTIAL,ADMIN. CLOSE,0
II1900147,2/4/19,11:06,2/4/19,11:05,WOHLERS HALL,VIOLATION ORDER PROTECTION,PENDING,36
00341-2019,2/5/19,13:04,2/3/19,16:24,BLAISDELL RESIDENCE HALL,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,41
00353-2019,2/5/19,13:13,1/24/19,18:49,ON CAMPUS,STALKING,ADMIN CLOSED,36
CC1900866,2/5/19,0:00,2/4/19,23:36,300 blk of E DANIEL ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
II1900146,2/5/19,1:57,2/5/19,1:57,FIFTH ST / GREEN ST,DRIVING UNDER THE INFL-ALCOHOL,ARREST,0
II1900150,2/5/19,16:26,9/19/18,8:00,1100 blk of STOUGHTON ST W,DECEPTIVE PRACTICES,ADMIN. CLOSE,0
00377-2019,2/7/19,13:23,2/6/19,21:00,CARR RESIDENCE HALL,LIQUOR-ILLEGAL POSS. BY MINOR,STUDENT DISC REFERRAL,41
CC1900629,2/7/19,0:00,1/26/19,22:40,ILLINI INN,PEDESTRIAN STOPS,REPORTED TO OTHER AGENCY,0
CC1900631,2/7/19,0:00,1/26/19,23:20,BROTHERS BAR,PEDESTRIAN STOPS,REPORTED TO OTHER AGENCY,14
CC1900637,2/7/19,0:00,1/27/19,1:05,MURPHY'S BAR,MIP ALCOHOL/LIQUOR,REPORTED TO OTHER AGENCY,10
CC1900805,2/7/19,0:00,2/3/19,2:41,300 blk of W GREEN ST,SPECIFIC NOISE PROHIBITED,REPORTED TO OTHER AGENCY,0
CC1900854,2/7/19,0:00,2/3/19,20:00,200 blk of S THIRD ST,THEFT GENERALLY,REPORTED TO OTHER AGENCY,0
CC1900862,2/7/19,0:00,2/4/19,8:00,200 blk of E JOHN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
SS1900113,2/8/19,0:00,9/16/18,12:00,1500 blk of FLORIDA AV E,SEXUAL ABUSE-CRIMINAL,REPORTED TO OTHER AGENCY,40
CC1900987,2/10/19,0:00,2/9/19,22:38,FOURTH ST / WHITE ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
IF1900136,2/10/19,21:15,2/10/19,21:15,TAFT RESIDENCE HALL,DRUGS,ADMIN CLOSED,34
IF1900139,2/10/19,22:20,2/10/19,22:20,ILLINI GROVE,DRUGS,ADMIN CLOSED,32
II1900169,2/10/19,10:24,2/10/19,9:10,2000 blk of HAZELWOOD CT,MISSING PERSON ADULT/FEMALE,ADMIN. CLOSE,0
II1900170,2/10/19,12:04,2/10/19,0:01,IKENBERRY DINING SERVICES,THEFT $500 AND UNDER,ADMIN. CLOSE,34
CC1900633,2/11/19,0:00,1/27/19,0:10,700 blk of S FIFTH ST,MIP ALCOHOL/LIQUOR,REPORTED TO OTHER AGENCY,0
CSA19-022,2/11/19,14:32,2/1/19,UNKNOWN,PENNSYLVANIA AVE RESIDENCE HALL,HARASSMENT,ADMIN CLOSED,41
II1900173,2/11/19,14:35,2/11/19,14:35,WILLARD AIRPORT,THEFT-MOTOR VEHICLE,PENDING,0
II1900176,2/11/19,20:10,2/6/19,22:30,ARC,THEFT $500 AND UNDER,ADMIN. CLOSE,39
00435-2019,2/12/19,8:49,2/12/19,2:20,SCOTT RESIDENCE HALL,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,34
II1900177,2/12/19,9:18,2/12/19,9:18,ST. MARY'S RD / FOURTH ST,CONTROLLED SUBSTANCE-POSSESSION,ARREST,0
II1900178,2/12/19,14:25,2/12/19,14:20,TEMPLE HOYNE BUELL HALL,DOMESTIC DISPUTE,ADMIN. CLOSE,36
II1900179,2/12/19,14:57,2/9/19,22:00,OMEGA DELTA FRATERNITY,THEFT OF LOST/MISLAID PROPERTY,ADMIN. CLOSE,0
II1900180,2/12/19,16:39,2/10/19,18:45,POST I,THEFT OVER $500,ADMIN. CLOSE,0
II1900183,2/12/19,17:17,2/12/19,9:00,MECHANICAL ENGINEERING BU,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE,12
CC1810217,2/13/19,0:00,12/20/18,23:17,GUIDOS,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
II1900185,2/13/19,16:07,1/7/19,8:00,GOLF COURSE,FORGERY,ADMIN. CLOSE,0
CC1900798,2/14/19,0:00,2/3/19,0:06,NEIL / GREEN,OPERATE UNINSURED MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
UU1900700,2/14/19,7:00,2/13/19,23:12,"713 W ILLINOIS ST, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
II1900194,2/15/19,16:47,10/21/17,3:48,blk of HARTWELL COURT,DISORDERLY CONDUCT-ALL OTHER,ADMIN. CLOSE,0
IF1900166,2/17/19,1:10,2/17/19,1:10,EVANS RESIDENCE HALL,LIQUOR-UNDERAGE,ADMIN CLOSED,50
UU1900758,2/17/19,0:00,2/15/19,23:45,700 blk of WASHINGTON ST W,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
CC1901019,2/18/19,0:00,2/11/19,8:06,400 blk of E JOHN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CSA19-026,2/18/19,8:40,2/15/19,10:30,RESIDENCE HALL,DOMESTIC VIOLENCE,ADMIN CLOSED,34
II1900202,2/18/19,7:49,2/18/19,7:45,ILLINI UNION HOTEL,DOMESTIC DISPUTE,ADMIN. CLOSE,47
II1900204,2/18/19,15:05,2/18/19,15:05,GREEN ST W / WRIGHT ST,TRESPASS-STATE SUPPORTED LAND,ARREST,47
00506-2019,2/19/19,13:11,2/18/19,14:00,SHELDEN RESIDENCE HALL,POSSESSION OF DRUG PARAPHERNALIA,STUDENT DISC REFERRAL,32
CC1900901,2/19/19,0:00,2/6/19,22:30,GREEN STREET REALTY,TRESPASS TO LAND/REAL PROPERTY,REPORTED TO OTHER AGENCY,0
CC1900915,2/19/19,0:00,4/7/18,0:01,S FIFTH ST / GREEN,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,0
CC1900929,2/19/19,0:00,2/8/19,2:28,600 blk of E DANIEL ST,BREATH ALCOHOL OVER LIMIT,REPORTED TO OTHER AGENCY,18
CC1900971,2/19/19,0:00,2/8/19,18:00,600 blk of S FIRST ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1900977,2/19/19,0:00,2/9/19,14:00,PAPA JOHNS,DECEPTIVE PRACTICES,REPORTED TO OTHER AGENCY,0
CC1901000,2/19/19,0:00,2/10/19,3:00,100 blk of CHALMERS ST,BURGLARY RESIDENTIAL,REPORTED TO OTHER AGENCY,0
CC1901102,2/19/19,0:00,2/12/19,23:00,blk of UNKNOWN,SEXUAL-ASSAULT-CRIMINAL,REPORTED TO OTHER AGENCY,0
II1900207,2/19/19,12:59,2/19/19,10:00,LUNDGREN RESIDENCE HALL,INTIMIDATION,ADMIN. CLOSE,34
II1900209,2/19/19,18:48,2/19/19,12:05,IKENBERRY DINING,THEFT $500 AND UNDER,ADMIN. CLOSE,34
CC1900337,2/22/19,0:00,1/15/19,2:45,100 blk of E DANIEL ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1900449,2/22/19,0:00,1/19/19,1:45,WRIGHT ST / DANIEL ST,LEAVING THE SCENE OF AN ACCIDENT,REPORTED TO OTHER AGENCY,47
CC1900594,2/22/19,0:00,1/25/19,15:56,500 blk of E UNIVERSITY AVE,THEFT-IDENTITY,REPORTED TO OTHER AGENCY,0
CC1900777,2/22/19,0:00,1/31/19,15:30,800 blk of S SIXTH ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,18
CC1901300,2/22/19,0:00,1/24/19,22:45,JOE'S BREWERY,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,0
CSA19-034,2/22/19,17:39,2/17/19,UNKNOWN,PRIVATE HOUSE,RAPE,ADMIN CLOSED,0
UU1900831,2/22/19,7:00,2/22/19,4:06,"111 S BUSEY AVE, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,0
II1900226,2/23/19,18:51,2/23/19,16:00,STOCK PAVILION,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE,36
UU1900853,2/23/19,7:00,2/22/19,22:35,SPRINGFIELD/LINCOLN,DISORDERLY CONDUCT,REPORTED TO OTHER AGENCY,0
CC1901383,2/24/19,0:00,2/24/19,0:30,KAM'S BAR,BATTERY,REPORTED TO OTHER AGENCY,0
II1900230,2/24/19,19:13,2/24/19,19:13,FLORIDA AVE / LINCOLN AVE S,WARRANT-OUT OF STATE,PENDING,0
CC1900682,2/25/19,0:00,1/28/19,22:00,ARMORY AV / FIRST ST,THEFT-MOTOR VEHICLE,REPORTED TO OTHER AGENCY,30
II1900243,2/27/19,10:00,2/2/19,0:01,UNIVERSITY PAYABLES,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,36
II1900244,2/27/19,13:22,2/18/19,15:00,ECE,THEFT OF LOST/MISLAID PROPERTY,ADMIN. CLOSE,1
UU1805379,2/27/19,0:00,11/2/18,21:27,1000 blk of UNIVERSITY AV W,NOISE PROHIBITION,REPORTED TO OTHER AGENCY,0
UU1805380,2/27/19,0:00,11/4/18,16:52,1000 blk of UNIVERSITY AVE W,NOISE PROHIBITION,REPORTED TO OTHER AGENCY,0
CC1901153,2/28/19,0:00,2/13/19,18:20,WALGRENS,FRAUD-CREDIT CARD,REPORTED TO OTHER AGENCY,0
CC1901177,2/28/19,0:00,7/1/18,12:00,blk of E UNIVERSITY AV,THEFT OVER $500,REPORTED TO OTHER AGENCY,0
CC1901201,2/28/19,0:00,2/17/19,3:04,blk of E GREEN,CONTROLLED SUBSTANCE-POSSESSION,REPORTED TO OTHER AGENCY,0
CC1901216,2/28/19,0:00,2/16/19,20:45,FOURTH ST / E JOHN,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1901252,2/28/19,0:00,2/18/19,17:44,GREEN STREET CAFE,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1901294,2/28/19,0:00,2/21/19,1:10,SECOND ST / GREEN ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,0
CC1901333,2/28/19,0:00,2/22/19,12:30,VINNY'S PIZZA,THEFT OF LOST/MISLAID PROPERTY,REPORTED TO OTHER AGENCY,0
II1900253,2/28/19,0:14,2/28/19,0:13,LINCOLN AVE / PENNSYLVANIA AVE,WARRANT-IN STATE,ARREST,0
II1900257,2/28/19,15:57,2/28/19,15:57,LOOMIS LAB,THEFT OF LOST/MISLAID PROPERTY,ADMIN. CLOSE,13
CC1901100,3/1/19,0:00,2/13/19,20:00,100 blk of E GREEN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1901347,3/1/19,0:00,2/22/19,22:00,blk of MAIN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1901350,3/1/19,0:00,2/22/19,23:30,300 blk of N NEIL ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
IF1900247,3/1/19,23:36,3/1/19,23:36,200 BLK GREEN,PUBLIC POSSESSION,ADMIN CLOSED,0
II1900260,3/1/19,10:09,2/26/19,15:41,GARAGE AND CAR POOL,THEFT $500 AND UNDER,ADMIN. CLOSE,0
II1900264,3/1/19,16:18,3/1/19,16:18,700 blk of LOCUST ST S,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1900267,3/1/19,23:18,3/1/19,23:18,FIRST ST / STADIUM DR,CANNABIS POSS OVER 10 - 100 G -MISD,ARREST,34
