Incident;Date reported;Time reported;Date occurred;Time occurred;General Location;Crime Description;Disposition
II1300034;1/12/2013;4:13:00 p. m.;1/12/2013;4:13:00 p. m.;700 blk of GREGORY ST S;DISORDERLY CONDUCT-ALL;ADMIN. CLOSE
;;;;;;OTHER;
II1300035;1/12/2013;6:27:00 p. m.;1/12/2013;6:27:00 p. m.;ILLINOIS TERMINAL;WARRANT-IN STATE;ARREST
;;;;;;;
II1300036;1/12/2013;11:23:00 p. m.;1/12/2013;11:23:00 p. m.;MOBIL SUPER PANTRY;WARRANT-IN STATE;ARREST
;;;;;;;
II1300034;1/12/2013;4:13:00 p. m.;1/12/2013;4:13:00 p. m.;700 blk of GREGORY ST S;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300039;1/13/2013;3:08:00 a. m.;1/13/2013;3:08:00 a. m.;SPRINGFIELD / NEIL;ASSIST/ACCIDENT;ADMIN. CLOSE
;;;;;;;
II1300038;1/13/2013;3:26:00 a. m.;1/13/2013;3:26:00 a. m.;GREGORY DR W / DORNER DR;ZERO TOLERANCE;ADMIN. CLOSE
;;;;;;;
II1300040;1/13/2013;2:42:00 p. m.;1/13/2013;2:40:00 p. m.;OREGON ST W / GOODWIN AV;WARRANT-IN STATE;ARREST
;;;;;;;
II1300041;1/13/2013;5:38:00 p. m.;1/13/2013;5:38:00 p. m.;ILLINI UNION;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300049;1/14/2013;4:00:00 p. m.;12/21/2012;12:00:00 p. m.;PARKING LOT D-5;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300045;1/14/2013;11:20:00 a. m.;11/17/2012;12:00:00 p. m.;PARKING LOT E-15;BURGLARY FROM MOTOR;ADMIN. CLOSE
;;;;;;VEHICLE;
II1300050;1/14/2013;8:51:00 p. m.;1/14/2013;8:00:00 p. m.;CRCE;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300051;1/14/2013;11:30:00 p. m.;1/14/2013;11:30:00 p. m.;BLAISELL RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300051;1/14/2013;11:30:00 p. m.;1/14/2013;11:30:00 p. m.;BLAISELL RESIDENCE HALL;CANNABIS-DELIVERY 30GM &;ARREST
;;;;;;UNDER;
II1300051;1/14/2013;11:30:00 p. m.;1/14/2013;11:30:00 p. m.;BLAISELL RESIDENCE HALL;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300048;1/14/2013;1:16:00 p. m.;1/13/2013;6:00:00 p. m.;600 blk of MATHEWS AVE S;FRAUD-CREDIT CARD;ARREST
;;;;;;;
II1300048;1/14/2013;1:16:00 p. m.;1/13/2013;6:00:00 p. m.;600 blk of MATHEWS AVE S;THEFT-IDENTITY;PENDING
;;;;;;;
II1300044;1/14/2013;9:43:00 a. m.;1/11/2013;11:30:00 a. m.;MADIGAN LAB;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
CC1300287;1/14/2013;12:00:00 a. m.;1/12/2013;2:55:00 a. m.;200 blk of WRIGHT ST S;BATTERY-DOMESTIC;REPORTED TO OTHER
;;;;;;;AGENCY
100-2013;1/14/2013;9:47:00 a. m.;1/13/2013;11:30:00 p. m.;ALLEN HALL;DRUGS;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300052;1/15/2013;2:40:00 p. m.;1/15/2013;2:00:00 p. m.;ILLINI UNION;THEFT-RETAIL;ARREST
;;;;;;;
CC1300162;1/15/2013;12:00:00 a. m.;1/7/2012;12:30:00 a. m.;CHESTER STREET BAR;AGGRAVATED ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300247;1/15/2013;12:00:00 a. m.;1/10/2013;8:03:00 p. m.;COUNTY MARKET;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
II1300055;1/16/2013;3:56:00 a. m.;1/16/2013;3:56:00 a. m.;WESTON RESIDENCE HALL;THEFT UNDER;ARREST
;;;;;;;
II1300057;1/16/2013;12:54:00 p. m.;1/16/2013;12:30:00 p. m.;ILLINI UNION;THEFT OVER;ADMIN. CLOSE
;;;;;;;
II1300058;1/16/2013;2:14:00 p. m.;11/1/2012;12:00:00 p. m.;IKENBERRY QUAD;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300056;1/16/2013;11:18:00 a. m.;1/10/2013;10:30:00 a. m.;VET MED BASIC SCIENCE;DISORDERLY CONDUCT-ALL;STUDENT DISCIPLINE
;;;;;;OTHER;REFERRAL
II1300059;1/16/2013;9:32:00 p. m.;1/16/2013;9:32:00 p. m.;WESTON RESIDENCE HALL;CANNABIS-POSS 30 GM & UNDER;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300059;1/16/2013;9:32:00 p. m.;1/16/2013;9:32:00 p. m.;WESTON RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300060;1/16/2013;11:11:00 p. m.;1/16/2013;11:11:00 p. m.;CLARK ST E / WRIGHT ST;CANNABIS-POSS 30 GM & UNDER;PENDING
;;;;;;;
CC1300268;1/16/2013;12:00:00 a. m.;12/19/2012;8:00:00 p. m.;300 blk of GREEN ST E;BURGLARY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300345;1/16/2013;12:00:00 a. m.;1/14/2013;2:30:00 a. m.;PHI KAPPA SIGMA;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300254;1/16/2013;12:00:00 a. m.;1/11/2013;1:45:00 a. m.;300 blk of E CHALMERS;SIMPLE ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300255;1/16/2013;12:00:00 a. m.;1/11/2013;3:59:00 a. m.;SPRINGFIELD / WRIGHT;DRUGS;REPORTED TO OTHER
;;;;;;;AGENCY
149-2013;1/16/2013;12:03:00 p. m.;1/15/2013;1:15:00 p. m.;SNYDER HALL;DRUGS;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300061;1/17/2013;2:10:00 a. m.;1/17/2013;2:10:00 a. m.;JOHN ST E / SIXTH / WRIGHT;DRIVING UNDER THE INFL-;ARREST
;;;;;;ALCOHOL;
II1300120;1/17/2013;2:56:00 a. m.;1/17/2013;2:30:00 a. m.;LINCOLN AVE RES HALLS;THEFT UNDER;STUDENT DISCIPLINE
;;;;;;;REFERRAL
CC1300386;1/17/2013;12:00:00 a. m.;1/15/2013;10:06:00 a. m.;300 blk of E GREGORY DR;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
II1300065;1/18/2013;2:10:00 a. m.;1/18/2013;2:10:00 a. m.;FOURTH ST S / JOHN ST;BATTERY-AGGRAVATED;PENDING
;;;;;;;
II1300065;1/18/2013;2:10:00 a. m.;1/18/2013;2:10:00 a. m.;FOURTH ST S / JOHN ST;WARRANT-IN STATE;ARREST
;;;;;;;
II1300067;1/18/2013;11:19:00 p. m.;1/18/2013;11:19:00 p. m.;GREEN ST E / FIRST;OBSTRUCTING JUSTICE;PENDING
;;;;;;;
II1300067;1/18/2013;11:19:00 p. m.;1/18/2013;11:19:00 p. m.;GREEN ST E / FIRST;WARRANT-IN STATE;ARREST
;;;;;;;
II1300065;1/18/2013;2:10:00 a. m.;1/18/2013;2:10:00 a. m.;FOURTH ST S / JOHN ST;BATTERY;PENDING
;;;;;;;
CC1300387;1/18/2013;12:00:00 a. m.;1/14/2013;6:00:00 p. m.;500 blk of S FIRST ST;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300361;1/18/2013;12:00:00 a. m.;1/13/2013;10:00:00 p. m.;500 blk of FIRST ST S;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300297;1/18/2013;12:00:00 a. m.;12/19/2012;3:30:00 p. m.;1000 blk of OAK ST S;BURGLARY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300415;1/18/2013;12:00:00 a. m.;1/16/2013;1:45:00 a. m.;JOE'S BREWERY;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300416;1/18/2013;12:00:00 a. m.;1/15/2013;9:30:00 p. m.;300 blk of JOHN ST E;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300435;1/18/2013;12:00:00 a. m.;1/15/2013;11:00:00 p. m.;300 blk of CHALMERS ST E;DOMESTIC DISPUTE;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300427;1/18/2013;12:00:00 a. m.;1/16/2013;10:44:00 a. m.;300 blk of E HEALEY ST;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300368;1/18/2013;12:00:00 a. m.;12/20/2012;8:00:00 a. m.;100 blk of DANIEL E;BURGLARY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300401;1/18/2013;12:00:00 a. m.;12/23/2012;8:00:00 a. m.;300 blk of CHALMERS ST E;BURGLARY;REPORTED TO OTHER
;;;;;;;AGENCY
II1300068;1/19/2013;2:18:00 a. m.;1/19/2013;2:15:00 a. m.;FOURTH ST S / JOHN ST;CRIMINAL DAMAGE GOVT;ARREST
;;;;;;SUPPORT PROP;
II1300068;1/19/2013;2:18:00 a. m.;1/19/2013;2:15:00 a. m.;FOURTH ST S / JOHN ST;RESIST/OBSTRUCT/DISARM AN;ARREST
;;;;;;OFFICER;
II1300069;1/19/2013;3:24:00 a. m.;1/19/2013;3:00:00 a. m.;SAUNDERS RESIDENCE HALL;DISORDERLY CONDUCT-ALL;ARREST
;;;;;;OTHER;
II1300069;1/19/2013;3:24:00 a. m.;1/19/2013;3:00:00 a. m.;SAUNDERS RESIDENCE HALL;CRIMINAL DAMAGE GOVT;ARREST
;;;;;;SUPPORT PROP;
II1300069;1/19/2013;3:24:00 a. m.;1/19/2013;3:00:00 a. m.;SAUNDERS RESIDENCE HALL;FALSE FIRE ALARM;ARREST
;;;;;;;
II1300070;1/19/2013;8:10:00 a. m.;1/19/2013;8:10:00 a. m.;WRIGHT ST S / GREEN ST;CONTROLLED SUBSTANCE-;ARREST
;;;;;;POSSESSION;
II1300070;1/19/2013;8:10:00 a. m.;1/19/2013;8:10:00 a. m.;WRIGHT ST S / GREEN ST;CONTROLLED SUBSTANCE-POSS;ARREST
;;;;;;W/INTENT;
II1300070;1/19/2013;8:10:00 a. m.;1/19/2013;8:10:00 a. m.;WRIGHT ST S / GREEN ST;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300070;1/19/2013;8:10:00 a. m.;1/19/2013;8:10:00 a. m.;WRIGHT ST S / GREEN ST;DRIVING UNDER INFLUENCE-;ARREST
;;;;;;DRUGS;
II1300071;1/19/2013;10:51:00 a. m.;1/18/2013;6:00:00 p. m.;OGLESBY RESIDENCE HALL;THEFT-LOST/MISLAID PROPERTY;ADMIN. CLOSE
;;;;;;;
II1300073;1/19/2013;1:39:00 p. m.;1/19/2013;2:00:00 a. m.;FOURTH ST S / GREGORY DR;BATTERY-AGGRAVATED;PENDING
;;;;;;;
II1300076;1/19/2013;11:20:00 p. m.;1/19/2013;11:20:00 p. m.;WESTON RESIDENCE HALL;CANNABIS-POSS 30 GM & UNDER;ARREST
;;;;;;;
II1300076;1/19/2013;11:20:00 p. m.;1/19/2013;11:20:00 p. m.;WESTON RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300076;1/19/2013;11:20:00 p. m.;1/19/2013;11:20:00 p. m.;WESTON RESIDENCE HALL;OTHER CRIMINAL OFFENSES;ARREST
;;;;;;;
II1300076;1/19/2013;11:20:00 p. m.;1/19/2013;11:20:00 p. m.;WESTON RESIDENCE HALL;FALSE ID-POSS (MISC);ARREST
;;;;;;;
CC1300377;1/19/2013;12:00:00 a. m.;1/14/2013;7:40:00 p. m.;300 blk of W WHITE ST;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CSA-13-1;1/19/2013;10:56:00 a. m.;1/19/2013;1:00:00 a. m.;WARDALL HALL;BATTERY;ADMIN. CLOSED
;;;;;;;
II1300077;1/20/2013;2:04:00 a. m.;1/20/2013;2:04:00 a. m.;GREGORY DR E / 1ST STREET;OTHER CRIMINAL OFFENSES;ARREST
;;;;;;;
II1300079;1/20/2013;12:31:00 p. m.;1/20/2013;12:31:00 p. m.;KIRBY AV E / FIRST ST;CONTROLLED SUBSTANCE-;ARREST
;;;;;;POSSESSION;
II1300080;1/20/2013;5:22:00 p. m.;1/20/2013;5:22:00 p. m.;CIRCLE K;WARRANT-IN STATE;ARREST
;;;;;;;
II1300081;1/21/2013;1:23:00 a. m.;1/21/2013;1:23:00 a. m.;S FOURTH ST / DANIEL ST;MIP;ARREST
;;;;;;;
II1300084;1/21/2013;9:31:00 p. m.;1/21/2013;9:15:00 p. m.;SMITH MUSIC;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300088;1/22/2013;1:45:00 p. m.;1/16/2013;9:00:00 a. m.;HUFF HALL PARING LOT;BURGLARY FROM MOTOR;ADMIN. CLOSE
;;;;;;VEHICLE;
II1300087;1/22/2013;9:51:00 a. m.;1/21/2013;9:00:00 p. m.;ALLEN RESIDENCE HALL;TRESPASS-STATE SUPPORTED;ADMIN. CLOSE
;;;;;;LAND;
II1300089;1/22/2013;4:42:00 p. m.;1/12/2013;9:59:00 p. m.;SIEBEL CENTER;DECEPTIVE PRACTICES;ADMIN. CLOSE
;;;;;;;
II1300091;1/22/2013;5:48:00 p. m.;1/19/2013;4:00:00 p. m.;BASIL THAI;THEFT OVER;ADMIN. CLOSE
;;;;;;;
II1300092;1/22/2013;6:52:00 p. m.;1/22/2013;6:52:00 p. m.;ILLINI UNION BOOKSTORE;THEFT UNDER;ARREST
;;;;;;;
II1300093;1/22/2013;11:57:00 p. m.;1/22/2013;11:57:00 p. m.;1300 blk of GREEN ST W;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300093;1/22/2013;11:57:00 p. m.;1/22/2013;11:57:00 p. m.;1300 blk of GREEN ST W;CRIMINAL DAMAGE TO PROPERTY;ARREST
;;;;;;;
CC1300271;1/22/2013;12:00:00 a. m.;1/11/2013;12:30:00 a. m.;300 blk of HEALEY ST E;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300519;1/22/2013;12:00:00 a. m.;1/13/2013;11:35:00 p. m.;COUNTY MARKET;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300554;1/22/2013;12:00:00 a. m.;1/5/2013;8:00:00 p. m.;100 blk of E HEALEY ST;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
165-2013;1/22/2013;12:32:00 p. m.;1/16/2013;9:33:00 p. m.;WESTON HALL;DRUGS;STUDENT DISCIPLINE
;;;;;;;REFERRAL
207-2013;1/22/2013;12:20:00 p. m.;1/19/2013;11:25:00 p. m.;WESTON HALL;DRUGS;STUDENT DISCIPLINE
;;;;;;;REFERRAL
179-2013;1/22/2013;1:15:00 p. m.;1/18/2013;12:15:00 a. m.;LAR;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
;;;;;;;
194-2013;1/22/2013;12:24:00 p. m.;1/18/2013;10:13:00 p. m.;SCOTT HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
195-2013;1/22/2013;1:28:00 p. m.;1/18/2013;11:26:00 a. m.;HOPKINS HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
196-2013;1/22/2013;1:47:00 p. m.;1/19/2013;1:00:00 a. m.;LAR;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
197-2013;1/22/2013;2:04:00 p. m.;1/18/2013;12:00:00 a. m.;SCOTT HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
199-2013;1/22/2013;2:01:00 p. m.;1/18/2013;12:00:00 a. m.;SCOTT HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
203-2013;1/22/2013;1:55:00 p. m.;1/19/2013;1:40:00 a. m.;TAFT HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
206-2013;1/22/2013;12:22:00 p. m.;1/18/2013;9:00:00 p. m.;SCOTT HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
208-2013;1/22/2013;12:13:00 p. m.;1/18/2013;10:28:00 p. m.;BLAISDELL HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
209-2013;1/22/2013;12:11:00 p. m.;1/21/2013;2:15:00 a. m.;CARR HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
212-2013;1/22/2013;11:04:00 a. m.;1/21/2013;1:40:00 a. m.;BLAISDELL HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
204-2013;1/22/2013;1:53:00 p. m.;1/18/2013;10:00:00 p. m.;WARDALL HALL;THREATS;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300094;1/23/2013;1:08:00 a. m.;1/23/2013;1:08:00 a. m.;300 blk of MATHEWS AVENUE N;CRIMINAL DAMAGE TO PROPERTY;ARREST
;;;;;;;
II1300096;1/23/2013;8:16:00 a. m.;1/23/2013;8:16:00 a. m.;COURTHOUSE;ASSIST/CRIMINAL DAMAGE;ADMIN. CLOSE
;;;;;;;
II1300099;1/23/2013;3:01:00 p. m.;1/23/2013;2:30:00 p. m.;ILLINI UNION BOOKSTORE;THEFT-RETAIL;ARREST
;;;;;;;
II1300100;1/23/2013;4:52:00 p. m.;1/23/2013;8:00:00 a. m.;PARKING LOT C-7;BURGLARY FROM MOTOR;ADMIN. CLOSE
;;;;;;VEHICLE;
UU1300302;1/23/2013;12:00:00 a. m.;1/19/2013;1:00:00 a. m.;600 blk of OHIO ST W;FORCIBLE SEX OFFENSE;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300461;1/23/2013;12:00:00 a. m.;1/17/2013;2:00:00 a. m.;200 blk of GREEN E;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300589;1/23/2013;12:00:00 a. m.;1/20/2013;9:00:00 p. m.;700 blk of LOCUST ST S;MOTOR VEHICLE THEFT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300492;1/23/2013;12:00:00 a. m.;1/18/2013;4:16:00 a. m.;ALPHA EPSILON PHI;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
II1300112;1/24/2013;8:04:00 p. m.;1/24/2012;8:00:00 p. m.;SNYDER RESIDENCE HALL;CANNABIS-POSS 30 GM & UNDER;PENDING
;;;;;;;
II1300112;1/24/2013;8:04:00 p. m.;1/24/2012;8:00:00 p. m.;SNYDER RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;PENDING
;;;;;;;
II1300110;1/24/2013;6:35:00 p. m.;1/18/2013;5:00:00 p. m.;EVERITT LAB;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300115;1/24/2013;7:20:00 p. m.;1/24/2013;7:20:00 p. m.;LEONARD RESIDENCE HALL;CANNABIS-DELIVERY 30GM &;PENDING
;;;;;;UNDER;
II1300115;1/24/2013;7:20:00 p. m.;1/24/2013;7:20:00 p. m.;LEONARD RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;PENDING
;;;;;;;
II1300115;1/24/2013;7:20:00 p. m.;1/24/2013;7:20:00 p. m.;LEONARD RESIDENCE HALL;CANNABIS-POSS 30 GM & UNDER;PENDING
;;;;;;;
CC1300485;1/24/2013;12:00:00 a. m.;1/18/2013;12:52:00 a. m.;RED LION;TRESPASSIN;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300530;1/24/2013;12:00:00 a. m.;1/19/2013;2:22:00 a. m.;FOURTH ST S / GREEN ST;AGGRAVATED ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300578;1/24/2013;12:00:00 a. m.;1/19/2013;5:00:00 p. m.;1100 blk of FOURTH ST S;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300533;1/24/2013;12:00:00 a. m.;1/19/2013;3:10:00 a. m.;MOBIL SUPER PANTRY;FRAUD/COUNTERFEIT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300544;1/24/2013;12:00:00 a. m.;1/19/2013;12:01:00 a. m.;300 blk of DANIEL ST E;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300541;1/24/2013;12:00:00 a. m.;1/18/2013;10:30:00 a. m.;500 blk of THIRD ST S;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
252-2013;1/24/2013;9:14:00 a. m.;1/23/2013;8:45:00 p. m.;OGLESBY HALL;DRUGS;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300117;1/25/2013;2:48:00 a. m.;1/25/2013;2:48:00 a. m.;CIRCLE K;CONTROLLED SUBSTANCE-;ARREST
;;;;;;POSSESSION;
II1300117;1/25/2013;2:48:00 a. m.;1/25/2013;2:48:00 a. m.;CIRCLE K;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300117;1/25/2013;2:48:00 a. m.;1/25/2013;2:48:00 a. m.;CIRCLE K;CANNABIS-POSSESSION OVER;ARREST
;;;;;;30GM;
II1300118;1/25/2013;8:31:00 a. m.;1/25/2013;8:31:00 a. m.;LINCOLN AV S / NEVADA;OBSTRUCTING JUSTICE;ARREST
;;;;;;;
II1300118;1/25/2013;8:31:00 a. m.;1/25/2013;8:31:00 a. m.;LINCOLN AV S / NEVADA;WARRANT-IN STATE;ARREST
;;;;;;;
CC1300574;1/25/2013;12:00:00 a. m.;8/24/2012;10:00:00 p. m.;GREEN ST E / THIRD;UNLAW USE ID;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300648;1/25/2013;12:00:00 a. m.;1/19/2013;12:30:00 a. m.;RED LION,CH;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1300567;1/25/2013;12:00:00 a. m.;1/20/2013;2:42:00 a. m.;JOE'S BREWERY;DEC PRACTICE;REPORTED TO OTHER
;;;;;;;AGENCY
