Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,
II1600023,1/7/2016,18:03,1/7/2016,13:15,MAIN LIBRARY,THEFT $500 AND UNDER,ADMIN. CLOSE,
,,,,,,,,
II1600022,1/7/2016,2:07,1/7/2016,2:00,PARKING LOT C-10,DISORDERLY CONDUCT-ALL OTHER,ARREST,
,,,,,,,,
II1600022,1/7/2016,2:07,1/7/2016,2:00,PARKING LOT C-10,CRIMINAL DAMAGE GOVT SUPPORT PROP,ARREST,
,,,,,,,,
II1600024,1/8/2016,0:24,1/8/2016,0:24,CHALMERS E / OAK,TRESPASS-RESIDENCE,ARREST,
,,,,,,,,
II1600025,1/8/2016,14:47,1/4/2016,12:30,2000 blk of OAK ST S,THEFT $500 AND UNDER,ARREST,
,,,,,,,,
II1600024,1/8/2016,0:24,1/8/2016,0:24,CHALMERS E / OAK,CANNABIS POSS 30 G AND UNDER - OLD,PENDING,
,,,,,,,,
II1600024,1/8/2016,0:24,1/8/2016,0:24,CHALMERS E / OAK,BURGLARY RESIDENTIAL,ARREST,
,,,,,,,,
II1600024,1/8/2016,0:24,1/8/2016,0:24,CHALMERS E / OAK,WARRANT-IN STATE,ARREST,
,,,,,,,,
II1600027,1/9/2016,0:14,1/9/2016,0:14,SECOND / UNIVERSITY,UNLAWFUL USE OF WEAPONS,ARREST,
,,,,,,,,
II1600027,1/9/2016,0:14,1/9/2016,0:14,SECOND / UNIVERSITY,ILLEGAL TRANSPORTATION OF LIQUOR,PENDING,
,,,,,,,,
II1600028,1/9/2016,0:29,1/8/2016,14:00,GRAINGER LIBRARY,THEFT OVER $500,ADMIN. CLOSE,
,,,,,,,,
II1600027,1/9/2016,0:14,1/9/2016,0:14,SECOND / UNIVERSITY,RESIST/OBSTRUCT/DISARM AN OFFICER,ARREST,
,,,,,,,,
II1600027,1/9/2016,0:14,1/9/2016,0:14,SECOND / UNIVERSITY,OBSTRUCTING JUSTICE,ARREST,
,,,,,,,,
II1600027,1/9/2016,0:14,1/9/2016,0:14,SECOND / UNIVERSITY,WARRANT-IN STATE,ARREST,
,,,,,,,,
II1600027,1/9/2016,0:14,1/9/2016,0:14,SECOND / UNIVERSITY,PAROLE VIOLATION,PENDING,
,,,,,,,,
II1600027,1/9/2016,0:14,1/9/2016,0:14,SECOND / UNIVERSITY,POSSESSION STOLEN PROPERTY,ARREST,
,,,,,,,,
II1600030,1/12/2016,16:13,1/12/2016,15:55,BECKMAN INSTITUTE,THEFT $500 AND UNDER,ARREST,
,,,,,,,,
II1600033,1/13/2016,8:12,12/17/2015,15:55,TRADE CENTER DR / KIRBY,STALKING,CLEARED EXCEPT. REFUSAL TO,
,,,,,,,COO,
,,,,,,,,
II1600032,1/13/2016,1:43,1/13/2016,1:43,FIFTH ST / HEALEY ST,TRAFFIC CITATION/VOP,ARREST,
,,,,,,,,
II1600034,1/13/2016,20:08,1/13/2016,16:45,ACTIVATION RECREATION CEN,THEFT OVER $500,UNFOUNDED,
,,,,,,,,
II1600036,1/14/2016,10:10,1/13/2016,12:00,CHEMISTRY ANNEX,THEFT $500 AND UNDER,ADMIN. CLOSE,
,,,,,,,,
II1600038,1/14/2016,13:22,1/12/2016,8:00,CLARK ST / HARVEY,THEFT-MOTOR VEHICLE,UNFOUNDED,
,,,,,,,,
II1600036,1/14/2016,10:10,1/13/2016,12:00,CHEMISTRY ANNEX,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,
,,,,,,,,
II1600040,1/14/2016,16:38,1/14/2016,8:00,PARKING LOT D-5,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,
,,,,,,,,
II1600035,1/14/2016,21:00,1/14/2016,21:00,CANDLEWOOD SUITES,PIMPING - PROMOTING PROSTITUTION,ARREST,
,,,,,,,,
II1600036,1/14/2016,10:10,1/13/2016,12:00,CHEMISTRY ANNEX,BURGLARY,ADMIN. CLOSE,
,,,,,,,,
II1600044,1/15/2016,8:35,1/12/2016,14:00,CHICAGO,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,
,,,,,,,,
II1600041,1/15/2016,1:40,1/15/2016,1:40,1000 blk of UNIVERSITY W,DUI,ARREST,
,,,,,,,,
II1600044,1/15/2016,8:35,1/12/2016,14:00,CHICAGO,THEFT-LOST/MISLAID PROPERTY,ADMIN. CLOSE,
,,,,,,,,
II1600047,1/15/2016,22:58,1/15/2016,22:58,UNIVERSITY AVE / WRIGHT ST,DRUG EQUIPMENT-POSSESSION,ARREST,
,,,,,,,,
II1600041,1/15/2016,1:40,1/15/2016,1:40,1000 blk of UNIVERSITY W,DUI,ARREST,
,,,,,,,,
II1600043,1/15/2016,3:52,1/14/2016,14:06,COORDINATED SCIENCE LAB,THEFT $500 AND UNDER,ADMIN. CLOSE,
,,,,,,,,
II1600041,1/15/2016,1:40,1/15/2016,1:40,1000 blk of UNIVERSITY W,DUI,ARREST,
,,,,,,,,
FI160150039,1/15/2016,2:07,1/15/2016,2:07,THIRD/CHALMERS,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,
,,,,,,,,
CSA16-001,1/15/2016,9:28,1/15/2016,UNKNOWN,ILLINI UNION BOOKSTORE,OTHER/INFO,ADMIN CLOSED,
,,,,,,,,
II1600050,1/16/2016,23:31,1/16/2016,16:00,BRADLEY / WALNUT,ASSIST CPD,ADMIN. CLOSE,
,,,,,,,,
II1600051,1/17/2016,3:19,1/17/2016,1:08,KAM'S,THEFT $500 AND UNDER,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600052,1/17/2016,4:03,1/17/2016,4:03,200 blk of CLARK ST E,WARRANT ARREST,ARREST,
,,,,,,,,
II1600053,1/17/2016,18:26,1/17/2016,18:26,LUNDGREN RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
FI16170410,1/17/2016,23:58,1/17/2016,23:58,ALLEN RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
FI16170378,1/17/2016,21:56,1/17/2016,21:56,TRELEASE RESD HALL,DRUGS,ADMIN. CLOSED,
,,,,,,,,
II1600057,1/18/2016,19:16,1/18/2016,19:16,BOUSFIELD RESIDENCE HALL,DEL/MANUF CANNABIS UNDER 30 G -MISD,PENDING,
,,,,,,,,
II1600057,1/18/2016,19:16,1/18/2016,19:16,BOUSFIELD RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,PENDING,
,,,,,,,,
II1600054,1/18/2016,7:38,1/14/2016,7:45,WILLARD AIRPORT,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,
,,,,,,,,
II1600058,1/18/2016,21:02,1/18/2016,21:00,GREGORY DR / DORNER,BATTERY,ARREST,
,,,,,,,,
II1600060,1/18/2016,21:40,1/18/2016,21:30,IKENBERRY STUDENT DINING,THEFT-RETAIL,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600057,1/18/2016,19:16,1/18/2016,19:16,BOUSFIELD RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,PENDING,
,,,,,,,,
FI16180038,1/18/2016,3:04,1/18/2016,3:04,BLAISDELL RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
FI16180015,1/18/2016,0:52,1/18/2016,0:52,FIFTH/UNIVERSITY,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
FI16180348,1/18/2016,21:31,1/18/2016,21:31,TRELEASE RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AI160180030,1/18/2016,2:38,1/18/2016,2:38,WARDELL RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600063,1/19/2016,13:44,1/18/2016,18:15,ACTIVITIES RECREATION CTR,THEFT $500 AND UNDER,PENDING,
,,,,,,,,
II1600064,1/19/2016,16:43,1/19/2016,16:43,ILLINI UNION BOOKSTORE,THEFT $500 AND UNDER,ARREST,
,,,,,,,,
II1600061,1/19/2016,13:00,1/19/2016,13:00,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,
,,,,,,,,
II1600076,1/20/2016,15:56,1/20/2016,14:55,MAIN LIBRARY,HARASSMENT,ADMIN. CLOSE,
,,,,,,,,
II1600080,1/20/2016,20:03,1/20/2016,19:40,ILLINI UNION,THEFT-RETAIL,PENDING,
,,,,,,,,
II1600078,1/20/2016,18:28,1/20/2016,18:28,PARKING GARAGE F-29,CANNABIS POSS 30 G AND UNDER - OLD,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600081,1/20/2016,21:09,1/20/2016,21:09,LUNDGREN RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1600072,1/20/2016,15:25,1/20/2016,15:25,ELECTRICAL AND COMPUTER E,THEFT OVER $500,PENDING,
,,,,,,,,
II1600081,1/20/2016,21:09,1/20/2016,21:09,LUNDGREN RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,ARREST,
,,,,,,,,
II1600078,1/20/2016,18:28,1/20/2016,18:28,PARKING GARAGE F-29,DRUG EQUIPMENT-POSSESSION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AI160210007,1/21/2016,1:00,1/21/2016,1:00,TAFT RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AI160210033,1/21/2016,2:50,1/21/2016,2:50,WESTON RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600089,1/22/2016,9:14,1/22/2016,9:14,URBANA,SEARCH WARRANT ASSIST,ADMIN. CLOSE,
,,,,,,,,
II1600089,1/22/2016,9:14,1/22/2016,9:14,URBANA,SEARCH WARRANT ASSIST,ADMIN. CLOSE,
,,,,,,,,
II1600093,1/22/2016,19:55,1/22/2016,19:55,SHELDON RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,ARREST,
,,,,,,,,
II1600094,1/22/2016,21:47,1/22/2016,21:40,57 NORTH STORE,THEFT-RETAIL,PENDING,
,,,,,,,,
II1600093,1/22/2016,19:55,1/22/2016,19:55,SHELDON RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
FI160220011,1/22/2016,0:26,1/22/2016,0:26,400 JOHN ST E,PUBLIC URINATION,ADMIN. CLOSED,
,,,,,,,,
FI160220529,1/22/2016,23:59,1/22/2016,23:59,701 S SIXTH,PUBLIC URINATION,ADMIN. CLOSED,
,,,,,,,,
FI160220401,1/22/2016,19:13,1/22/2016,19:13,LUNDGREN RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
FI160220024,1/22/2016,1:04,1/22/2016,1:04,WRIGHT/GREEN,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AI160220038,1/22/2016,2:00,1/22/2016,2:00,ALLEN RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600096,1/23/2016,4:02,1/23/2016,2:23,600 blk of DANIEL ST E,MISSING PERSON,UNFOUNDED,
,,,,,,,,
II1600097,1/23/2016,8:36,1/23/2016,1:00,MECHANICAL ENGINEERING,TRESPASS-STATE SUPPORTED LAND,PENDING,
,,,,,,,,
II1600098,1/23/2016,14:27,1/23/2016,14:22,GRAINGER LIBRARY,THEFT $500 AND UNDER,ADMIN. CLOSE,
,,,,,,,,
II1600100,1/23/2016,23:25,1/23/2016,23:25,LEONARD RESD HALL,DRUG EQUIPMENT-POSSESSION,PENDING,
,,,,,,,,
II1600095,1/23/2016,2:05,1/23/2016,2:00,PARKING LOT A-9,CRIMINAL DAMAGE GOVT SUPPORT PROP,ARREST,
,,,,,,,,
II1600097,1/23/2016,8:36,1/23/2016,1:00,MECHANICAL ENGINEERING,CRIMINAL DAMAGE GOVT SUPPORT PROP,PENDING,
,,,,,,,,
FI160230081,1/23/2016,3:00,1/23/2016,3:00,ALLEN RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AI160230049,1/23/2016,1:28,1/23/2016,1:28,LUNDGREN RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AR160230081,1/23/2016,2:45,1/23/2016,2:45,ALLEN RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600101,1/24/2016,0:00,1/24/2016,0:00,PARKING LOT D-15,TRESPASS,ARREST,
,,,,,,,,
II1600106,1/24/2016,1:41,1/24/2016,1:41,EUCLID ST / ARMORY AVE E,BATTERY-AGGRAVATED,ARREST,
,,,,,,,,
II1600108,1/24/2016,2:41,1/24/2016,2:41,CIRCLE K,RESISTING ARREST,ARREST,
,,,,,,,,
II1600108,1/24/2016,2:41,1/24/2016,2:41,CIRCLE K,RESISTING ARREST,ARREST,
,,,,,,,,
II1600111,1/24/2016,17:18,1/24/2016,2:00,KCPA PARKING GARAGE,ROBBERY,PENDING,
,,,,,,,,
II1600108,1/24/2016,2:41,1/24/2016,2:41,CIRCLE K,RESISTING ARREST,ADMIN. CLOSE,
,,,,,,,,
II1600109,1/24/2016,10:15,1/23/2016,20:00,GREGORY DR / FIRST ST S,FALSE POLICE REPORT,ARREST,
,,,,,,,,
II1600103,1/24/2016,0:32,1/23/2016,8:00,ILLINI UNION,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,
,,,,,,,,
II1600107,1/24/2016,2:52,1/24/2016,2:52,1000 blk of LOCUST ST S,MIP ALCOHOL/LIQUOR,ARREST,
,,,,,,,,
II1600113,1/24/2016,23:09,1/24/2016,23:09,OGLESBY RESIDENCE HALL,WARRANT ARREST,ARREST,
,,,,,,,,
II1600109,1/24/2016,10:15,1/23/2016,20:00,GREGORY DR / FIRST ST S,BATTERY-AGGRAVATED,ADMIN. CLOSE,
,,,,,,,,
II1600109,1/24/2016,10:15,1/23/2016,20:00,GREGORY DR / FIRST ST S,ROBBERY,UNFOUNDED,
,,,,,,,,
AI160240022,1/24/2016,0:42,1/24/2016,0:42,HOPKINS RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AI160240384,1/24/2016,21:26,1/24/2016,21:26,STATE ST S/HESSEL BLVD,DRUGS,ADMIN. CLOSED,
,,,,,,,,
AR160240076,1/24/2016,3:21,1/24/2016,3:21,LEONARD RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600118,1/25/2016,15:30,1/25/2016,15:30,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,
,,,,,,,,
II1600123,1/25/2016,22:32,1/25/2016,22:32,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,
,,,,,,,,
II1600122,1/25/2016,21:21,1/25/2016,9:50,FOELLINGER AUDITORIUM,THEFT $500 AND UNDER,PENDING,
,,,,,,,,
II1600124,1/25/2016,15:30,1/25/2016,14:30,4500 blk of RACE ST S,TRESPASS,ARREST,
,,,,,,,,
II1600119,1/25/2016,17:00,1/21/2016,15:30,ENGLISH BLDG,THEFT $500 AND UNDER,ADMIN. CLOSE,
,,,,,,,,
II1600127,1/26/2016,11:21,1/25/2016,15:30,FOREIGN LANGUAGE BUILDING,ASSAULT,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600131,1/26/2016,14:13,1/26/2016,14:13,PARKING LOT C-7,DRUG EQUIPMENT-POSSESSION,ARREST,
,,,,,,,,
II1600125,1/26/2016,7:58,1/26/2016,7:58,SECOND ST S / DANIEL ST,WARRANT ARREST,ARREST,
,,,,,,,,
II1600131,1/26/2016,14:13,1/26/2016,14:13,PARKING LOT C-7,UNLAWFUL USE OF WEAPONS,ARREST,
,,,,,,,,
II1600135,1/26/2016,21:36,1/26/2016,21:36,FIRST ST / KIRBY AVE E,WARRANT ARREST,ARREST,
,,,,,,,,
II1600128,1/26/2016,12:13,1/26/2016,11:55,GRAINGER LIBRARY,THEFT OVER $500,PENDING,
,,,,,,,,
II1600131,1/26/2016,14:13,1/26/2016,14:13,PARKING LOT C-7,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1600132,1/26/2016,15:30,1/26/2016,15:30,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,
,,,,,,,,
FI160260023,1/26/2016,0:45,1/26/2016,0:45,ILLINI GROVE PAVILLION,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600143,1/27/2016,22:32,1/27/2016,22:32,CIRCLE K,WARRANT ARREST,ARREST,
,,,,,,,,
FI160270001,1/27/2016,0:06,1/27/2016,0:06,CANOPY CLUB,DRUGS,ADMIN. CLOSED,
,,,,,,,,
CSA16-002,1/27/2016,11:40,1/26/2016,UNKNOWN,NOYES LAB,STALKING,POLICE REPORT,
,,,,,,,,
II1600147,1/28/2016,16:48,1/28/2016,16:48,PEABODY / SIXTH,WARRANT ARREST,ARREST,
,,,,,,,,
,,,,,,,,
,,,,,,,,
II1600151,1/28/2016,0:39,1/28/2016,0:39,BOUSFIELD RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600151,1/28/2016,0:39,1/28/2016,0:39,BOUSFIELD RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600145,1/28/2016,11:55,1/28/2016,11:30,MECHANICAL ENGINEERING,THEFT OVER $500,ADMIN. CLOSE,
,,,,,,,,
II1600155,1/29/2016,9:05,1/27/2016,13:00,GREGORY PL / NEVADA,TRESPASS TO RESIDENCE,ADMIN. CLOSE,
,,,,,,,,
II1600153,1/29/2016,3:15,1/29/2016,3:15,200 blk of UNIVERSITY AVE E,RESIST OBS OFC,ADMIN. CLOSE,
,,,,,,,,
II1600158,1/29/2016,16:05,1/29/2016,11:40,OGLESBY RESIDENCE HALL,THEFT OVER $500,ADMIN. CLOSE,
,,,,,,,,
II1501946,1/29/2016,9:28,1/29/2016,9:28,STATE STREET S / JOHN ST,DRUG PARAPHERNALIA-SALE/DELIVERY,PENDING,
,,,,,,,,
II1600160,1/29/2016,10:10,1/29/2016,10:10,STATE ST / JOHN,OBSTRUCTING IDENTIFICATION,ARREST,
,,,,,,,,
II1600159,1/29/2016,16:53,1/29/2016,13:50,ELECTRICAL AND COMPUTER E,THEFT $500 AND UNDER,PENDING,
,,,,,,,,
II1600152,1/29/2016,2:43,1/2/2016,9:57,SCOTT RESIDENCE HALL,STALKING,PENDING,
,,,,,,,,
II1600154,1/29/2016,7:37,1/28/2016,19:15,ILLINOIS STREET RESIDENCE,THEFT $500 AND UNDER,ADMIN. CLOSE,
,,,,,,,,
II1501946,1/29/2016,9:28,1/29/2016,9:28,STATE STREET S / JOHN ST,DEL/MANUF CANNABIS OVER 30 G -FEL,ARREST,
,,,,,,,,
II1600160,1/29/2016,10:10,1/29/2016,10:10,STATE ST / JOHN,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1600161,1/29/2016,22:15,1/29/2016,22:15,ALLEN RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1600161,1/29/2016,22:15,1/29/2016,22:15,ALLEN RESIDENCE HALL,DRUG PARAPHERNALIA-SALE/DELIVERY,ARREST,
,,,,,,,,
II1600152,1/29/2016,2:43,1/2/2016,9:57,SCOTT RESIDENCE HALL,STALKING,PENDING,
,,,,,,,,
FI160290059,1/29/2016,3:09,1/29/2016,3:09,VAN DOREN RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
FI160290544,1/29/2016,23:55,1/29/2016,23:55,SECOND/JOHN,PUBLIC URINATION,ADMIN. CLOSED,
,,,,,,,,
AI160290036,1/29/2016,1:41,1/29/2016,1:41,FIFTH ST/WHITE ST,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,
,,,,,,,,
AI160290528,1/29/2016,23:22,1/29/2016,23:22,1000 BLK COLLEGE COURT,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600163,1/30/2016,3:40,1/30/2016,3:40,PARKING LOT F-23,DRUG EQUIPMENT-POSSESSION,PENDING,
,,,,,,,,
II1600163,1/30/2016,3:40,1/30/2016,3:40,PARKING LOT F-23,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1600163,1/30/2016,3:40,1/30/2016,3:40,PARKING LOT F-23,CONTROLLED SUBSTANCE-POSSESSION,PENDING,
,,,,,,,,
FI160300437,1/30/2016,21:35,1/30/2016,21:35,ILLINI GROVE PAVILLION,DRUGS,ADMIN. CLOSED,
,,,,,,,,
AI160300079,1/30/2016,5:53,1/30/2016,5:53,BABCOCK RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
,,,,,,,,
,,,,,,,,
AI160300029,1/30/2016,1:10,1/30/2016,1:10,TAFT RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AR160300003,1/30/2016,0:11,1/30/2016,0:11,SECOND ST S/DANIEL ST,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,
,,,,,,,,
II1600168,1/31/2016,18:34,1/31/2016,18:34,BARTON RESIDENCE HALL,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1600168,1/31/2016,18:34,1/31/2016,18:34,BARTON RESIDENCE HALL,CONTROLLED SUBSTANCE-POSSESSION,ARREST,
,,,,,,,,
II1600169,1/31/2016,20:33,1/31/2016,14:28,DANIELS RESIDENCE HALL,DECEPTIVE PRACTICE,PENDING,
,,,,,,,,
II1600168,1/31/2016,18:34,1/31/2016,18:34,BARTON RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,ARREST,
,,,,,,,,
II1600170,1/31/2016,23:18,1/31/2016,13:00,SIEBEL CENTER,THEFT OVER $500,PENDING,
,,,,,,,,
FI160310013,1/31/2016,0:17,1/31/2016,0:17,310 E DANIELS,LIQUOR - PUBLIC PROPERTY,ADMIN. CLOSED,
,,,,,,,,
W16-0240,1/31/2016,0:35,1/31/2016,0:35,THIRD/CHURCH,DRUGS,ADMIN. CLOSED,
,,,,,,,,
FI160300066,1/31/2016,3:16,1/31/2016,3:16,900 W PENNSYLVANIA,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
FI160310071,1/31/2016,2:09,1/31/2016,2:09,NUGENT RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,
,,,,,,,,
AI160310063,1/31/2016,2:01,1/31/2016,2:01,SAUNDERS RESD HALL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
CC1600176,2/1/2016,0:00,1/1/2016,12:00,HEARTLAND HEALTHCARE,FORCIBLE SEX OFFENSE,REPORTED TO OTHER AGENCY,
,,,,,,,,
II1600176,2/1/2016,15:24,2/1/2016,12:52,ILLINI UNION BOOKSTORE,THEFT-RETAIL,PENDING,
,,,,,,,,
II1600175,2/1/2016,13:18,1/30/2016,0:30,FIRST ST / GREEN ST,ROBBERY-ARMED,ADMIN. CLOSE,
,,,,,,,,
II1600171,2/1/2016,0:37,1/25/2016,0:00,UNDERGRADUATE LIBRARY,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE,
,,,,,,,,
II1600172,2/1/2016,8:42,1/25/2016,0:01,600 blk of ILLINOIS W,DECEPTIVE PRACTICES,PENDING,
,,,,,,,,
II1600182,2/2/2016,17:28,2/2/2016,17:28,ILLINOIS BUS TERMINAL,WARRANT ARREST,ARREST,
,,,,,,,,
II1600179,2/2/2016,6:58,2/2/2016,3:00,MEMORIAL STADIUM,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,
,,,,,,,,
II1600180,2/2/2016,12:24,2/2/2016,12:24,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,
,,,,,,,,
AI160330479,2/2/2016,23:06,2/2/2016,23:06,WRIGHT/DANIEL,LIQUOR - UNDERAGE CONSUMPTION,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
AR160330498,2/2/2016,22:57,2/2/2016,22:57,ILLINI GROVE PAVILLION,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
II1600194,2/3/2016,22:49,2/3/2016,22:49,WHITE / FOURTH,WARRANT ARREST,ARREST,
,,,,,,,,
II1600184,2/3/2016,2:14,2/3/2016,2:14,CAMPUS PANTRY,RESIST OBS OFC,ARREST,
,,,,,,,,
II1600192,2/3/2016,20:00,2/3/2016,20:00,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST,
,,,,,,,,
FI160340436,2/3/2016,21:02,2/3/2016,21:02,ALLEN RESD HALL,DRUGS,STUDENT DISCIPLINE REFERRAL,
,,,,,,,,
FI160340004,2/3/2016,0:25,2/3/2016,0:25,700 BLK THIRD ST,LIQUOR - UNDERAGE CONSUMPTION,ADMIN. CLOSED,
,,,,,,,,
