Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
II1400055,1/16/2014,7:28:00 a. m.,1/15/2014,11:00:00 p. m.,PARKING LOT D-21,THEFT FROM MOTOR VEHICLE,ADMIN. CLOSE
,,,,,,,
FI140160023,1/16/2014,1:54:00 a. m.,1/16/2014,1:54:00 a. m.,FOURTH/JOHN,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400060,1/17/2014,2:43:00 p. m.,1/15/2014,6:00:00 p. m.,GREEN W / WRIGHT S,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
FI140170045,1/17/2014,4:25:00 a. m.,1/17/2014,4:25:00 a. m.,DANIEL/THIRD,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140170045,1/17/2014,4:25:00 a. m.,1/17/2014,4:25:00 a. m.,304 E DANIEL ST,LIQUOR,ADMIN. CLOSED
,,,,,,,
II1400063,1/18/2014,2:37:00 a. m.,1/18/2014,2:37:00 a. m.,GOODWIN AVE S / ILLINOIS,DRIVING UNDER THE INFL-ALCOHOL,ARREST
,,,,,,,
II1400064,1/18/2014,2:16:00 p. m.,1/18/2014,12:00:00 p. m.,PARKING LOT E-24,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE
,,,,,,,
FI140180020,1/18/2014,1:04:00 a. m.,1/18/2014,1:04:00 a. m.,HARVEY/STOUGHTON,THEFT,ADMIN. CLOSED
,,,,,,,
FI140190481,1/19/2014,11:57:00 p. m.,1/19/2014,11:57:00 p. m.,JOHN/SIXTH,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI140190482,1/19/2014,11:56:00 p. m.,1/19/2014,11:56:00 p. m.,RED LION,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00089-2014,1/19/2014,9:15:00 p. m.,1/19/2014,9:15:00 p. m.,SCOTT RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00108-2014,1/19/2014,11:15:00 p. m.,1/19/2014,11:15:00 p. m.,SNYDER RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400066,1/20/2014,1:36:00 a. m.,1/20/2014,1:36:00 a. m.,LUNDGREN RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,ARREST
,,,,,,,
II1400068,1/20/2014,5:48:00 p. m.,1/20/2014,5:40:00 p. m.,PARKING LOT E-14,BATTERY-DOMESTIC,ARREST
,,,,,,,
II1400070,1/20/2014,7:50:00 p. m.,12/23/2013,8:00:00 a. m.,TOWNSEND RESIDENCE HALL,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE
,,,,,,,
00090-2014,1/20/2014,1:30:00 a. m.,1/20/2014,1:30:00 a. m.,LUNDGREN RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400073,1/21/2014,11:59:00 a. m.,1/21/2014,11:59:00 a. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400075,1/21/2014,1:02:00 p. m.,1/21/2014,1:02:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400076,1/21/2014,1:11:00 p. m.,12/28/2013,3:00:00 p. m.,EVERITT LAB,THEFT UNDER,ARREST
,,,,,,,
II1400077,1/21/2014,3:13:00 p. m.,1/21/2014,3:13:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400079,1/21/2014,9:43:00 p. m.,1/21/2014,9:43:00 p. m.,SHELDON RESIDENCE HALL,CANNABIS-POSS 30 GM & UNDER,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400079,1/21/2014,9:43:00 p. m.,1/21/2014,9:43:00 p. m.,SHELDON RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,STUDENT DISCIPLINE
,,,,,,,REFERRAL
CC1400121,1/21/2014,12:00:00 a. m.,1/6/2014,11:55:00 a. m.,CIRCLE K,DISORDERLY CONDUCT,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400149,1/21/2014,12:00:00 a. m.,1/7/2014,5:44:00 p. m.,300 blk of STOUGHTON ST E,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400071,1/21/2014,12:00:00 a. m.,12/30/2013,4:00:00 p. m.,600 blk of FIFTH ST S,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400023,1/21/2014,12:00:00 a. m.,12/31/2013,6:30:00 p. m.,300 blk of CLARK ST E,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400022,1/21/2014,12:00:00 a. m.,12/31/2013,7:00:00 p. m.,100 blk of JOHN ST E,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400018,1/21/2014,12:00:00 a. m.,12/31/2013,6:00:00 p. m.,100 blk of CHALMERS ST E,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400013,1/21/2014,12:00:00 a. m.,1/1/2014,3:51:00 a. m.,300 blk of WATER S,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
FI140210453,1/21/2014,11:10:00 p. m.,1/21/2014,11:10:00 p. m.,HOPKINS RESD HALL,DRUGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00110-2014,1/21/2014,11:08:00 p. m.,1/21/2014,11:08:00 p. m.,HOPKINS RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400083,1/22/2014,2:25:00 a. m.,1/22/2014,2:25:00 a. m.,WRIGHT / DANIEL,MIP,ARREST
,,,,,,,
II1400084,1/22/2014,9:25:00 a. m.,1/22/2014,9:25:00 a. m.,ILLINOIS TERMINAL,WARRANT-IN STATE,ARREST
,,,,,,,
II1400085,1/22/2014,9:39:00 a. m.,1/20/2014,3:00:00 p. m.,CRCE,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400088,1/22/2014,12:45:00 p. m.,1/22/2014,12:45:00 p. m.,ILLINOIS TERMINAL,WARRANT-IN STATE,ARREST
,,,,,,,
II1400090,1/22/2014,1:42:00 p. m.,1/22/2014,1:42:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400093,1/22/2014,5:50:00 p. m.,1/22/2014,5:38:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400094,1/22/2014,8:04:00 p. m.,1/22/2014,4:00:00 p. m.,REHABILITATION CENTER,THEFT OVER,ADMIN. CLOSE
,,,,,,,
FI140220009,1/22/2014,12:38:00 a. m.,1/22/2014,12:38:00 a. m.,BLAISDELL RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI140220002,1/22/2014,12:07:00 a. m.,1/22/2014,12:07:00 a. m.,800-BLK S FOURTH,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI140220038,1/22/2014,3:36:00 a. m.,1/22/2014,3:36:00 a. m.,NUGENT RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00129-2014,1/22/2014,10:14:00 p. m.,1/22/2014,10:14:00 p. m.,OGLESBY RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400096,1/23/2014,1:06:00 p. m.,1/2/2014,12:00:00 p. m.,PARKING LOT E-15,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE
,,,,,,,
II1400099,1/23/2014,6:53:00 p. m.,1/23/2014,6:53:00 p. m.,HOPKINS RESIDENCE HALL,CANNABIS-POSS 30 GM & UNDER,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400099,1/23/2014,6:53:00 p. m.,1/23/2014,6:53:00 p. m.,HOPKINS RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140230174,1/23/2014,11:37:00 a. m.,1/23/2014,11:37:00 a. m.,TRELEASE RESD HALL,DOMESTIC,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140230445,1/23/2014,11:18:00 p. m.,1/23/2014,11:18:00 p. m.,CARR RESD HALL,DRUGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400101,1/24/2014,10:13:00 a. m.,8/8/2013,8:00:00 a. m.,ALICE CAMPBELL ALUM CNTR,CRIMINAL DAMAGE GOVT SUPPORT,ADMIN. CLOSE
,,,,,,PROP,
II1400103,1/24/2014,8:39:00 p. m.,1/24/2013,8:39:00 p. m.,HOPKINS RESIDENCE HALL,CANNABIS-POSS 30 GM & UNDER,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400103,1/24/2014,8:39:00 p. m.,1/24/2013,8:39:00 p. m.,HOPKINS RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,STUDENT DISCIPLINE
,,,,,,,REFERRAL
CC1400194,1/24/2014,12:00:00 a. m.,12/30/2013,9:30:00 a. m.,PAVLOV MEDIA,BURGLARY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400193,1/24/2014,12:00:00 a. m.,1/9/2014,12:20:00 p. m.,300 blk of SECOND ST S,TRESPASS,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400141,1/24/2014,12:00:00 a. m.,1/7/2014,12:41:00 p. m.,200 blk of WHITE ST E,ASSIST FUGITIVE F/JUSTICE,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400259,1/24/2014,12:00:00 a. m.,12/20/2013,11:00:00 p. m.,400 blk of SPRINGFIELD AV E,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400323,1/24/2014,12:00:00 a. m.,1/13/2014,1:00:00 a. m.,KLATT PROPERTIES,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400257,1/24/2014,12:00:00 a. m.,12/13/2013,12:33:00 p. m.,100 blk of E HEALEY ST,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400270,1/24/2014,12:00:00 a. m.,1/11/2014,11:40:00 p. m.,CIRCLE K,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400302,1/24/2014,12:00:00 a. m.,1/13/2014,2:11:00 a. m.,blk of CHESTER ST,DOMESTIC-BATTERY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400169,1/24/2014,12:00:00 a. m.,12/18/2013,1:00:00 p. m.,"STARBUCKS-GRE, CH",LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400175,1/24/2014,12:00:00 a. m.,12/20/2013,10:00:00 p. m.,300 blk of WHITE ST E,BURGLARY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400450,1/24/2014,12:00:00 a. m.,1/17/2014,11:41:00 p. m.,300 blk of SECOND S,DRUGS,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400490,1/24/2014,12:00:00 a. m.,1/19/2014,12:01:00 a. m.,100 blk of E JOHN ST,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400509,1/24/2014,12:00:00 a. m.,1/20/2014,12:53:00 a. m.,RED LION,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400500,1/24/2014,12:00:00 a. m.,1/19/2014,9:21:00 p. m.,800 blk of S THIRD ST,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400411,1/24/2014,12:00:00 a. m.,1/2/2014,12:01:00 a. m.,1000 blk of OAK S,BURGLARY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400364,1/24/2014,12:00:00 a. m.,12/21/2013,6:00:00 p. m.,500 blk of S THIRD ST,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400462,1/24/2014,12:00:00 a. m.,1/3/2014,4:00:00 a. m.,300 blk of E SPRINGFIELD AVE,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400522,1/24/2014,12:00:00 a. m.,1/20/2014,8:00:00 a. m.,800 blk of FIRST ST S,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400520,1/24/2014,12:00:00 a. m.,1/19/2014,10:00:00 p. m.,300 blk of E JOHN ST,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400442,1/24/2014,12:00:00 a. m.,1/17/2014,5:00:00 p. m.,500 blk of WHITE ST E,SIMPLE ASSAULT,REPORTED TO OTHER
,,,,,,,AGENCY
FI140240166,1/24/2014,11:50:00 p. m.,1/24/2014,11:50:00 p. m.,POST I,THREATS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00149-2014,1/24/2014,7:45:00 p. m.,1/24/2014,7:45:00 p. m.,LEONARD RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
00152-2014,1/24/2014,10:10:00 p. m.,1/24/2014,10:10:00 p. m.,HOPKINS RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00153-2014,1/24/2014,11:15:00 p. m.,1/24/2014,11:15:00 p. m.,SNYDER RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400082,1/25/2014,8:41:00 p. m.,1/25/2014,8:41:00 p. m.,400 blk of STOUGHTON E,CANNABIS-DELIVERY OVER 30GM,ARREST
,,,,,,,
II1400082,1/25/2014,8:41:00 p. m.,1/25/2014,8:41:00 p. m.,400 blk of STOUGHTON E,PROSTITUTION,ARREST
,,,,,,,
II1400082,1/25/2014,8:41:00 p. m.,1/25/2014,8:41:00 p. m.,400 blk of STOUGHTON E,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
,,,,,,,
II1400082,1/25/2014,8:41:00 p. m.,1/25/2014,8:41:00 p. m.,400 blk of STOUGHTON E,WARRANT-IN STATE,ARREST
,,,,,,,
II1400106,1/25/2014,2:48:00 a. m.,1/25/2014,2:30:00 a. m.,ISR,CRIMINAL DAMAGE GOVT SUPPORT,STUDENT DISCIPLINE
,,,,,,PROP,REFERRAL
II1400106,1/25/2014,2:48:00 a. m.,1/25/2014,2:30:00 a. m.,ISR,DISORDERLY CONDUCT-ALL OTHER,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400107,1/25/2014,6:34:00 a. m.,1/24/2014,10:00:00 p. m.,NOYES LAB,CRIMINAL DAMAGE GOVT SUPPORT,ADMIN. CLOSE
,,,,,,PROP,
II1400109,1/25/2014,11:30:00 a. m.,1/25/2014,7:15:00 a. m.,HOUSING FOOD STORES,THEFT UNDER,PENDING
,,,,,,,
II1400110,1/25/2014,3:41:00 p. m.,1/25/2014,3:41:00 p. m.,SAVE-A-LOT,ASSIST URBANA THEFT,ADMIN. CLOSE
,,,,,,,
FI140250011,1/25/2014,12:26:00 a. m.,1/25/2014,12:26:00 a. m.,700-BLK S FIFTH,PUBLIC URINATION,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140250018,1/25/2014,12:47:00 a. m.,1/25/2014,12:47:00 a. m.,1203 W OREGON,PUBLIC URINATION,ADMIN. CLOSED
,,,,,,,
FI140250043,1/25/2014,2:03:00 a. m.,1/25/2014,2:03:00 a. m.,PARKING LOT C-7,PUBLIC URINATION,ADMIN. CLOSED
,,,,,,,
FI140250067,1/25/2014,3:52:00 a. m.,1/25/2014,3:52:00 a. m.,SCOTT RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AR140250067,1/25/2014,3:52:00 a. m.,1/25/2014,3:52:00 a. m.,SCOTT RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00158-2014,1/25/2014,7:24:00 p. m.,1/25/2014,7:24:00 p. m.,SHELDON RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00164-2014,1/25/2014,3:00:00 a. m.,1/25/2014,3:00:00 a. m.,BLAISDELL RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00192-2014,1/25/2014,5:50:00 a. m.,1/25/2014,5:50:00 a. m.,COMMUNITY BLOOD SERVICES,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400111,1/26/2014,2:43:00 a. m.,1/26/2014,2:43:00 a. m.,SPRINGFIELD E / FOURTH ST,BATTERY,ARREST
,,,,,,,
II1400112,1/26/2014,8:32:00 a. m.,1/23/2014,8:00:00 a. m.,ALTGELD HALL,THEFT OVER,PENDING
,,,,,,,
II1400113,1/26/2014,11:38:00 a. m.,1/26/2014,11:38:00 a. m.,GREEN ST E / WRIGHT ST,WARRANT-IN STATE,ARREST
,,,,,,,
II1400118,1/26/2014,9:29:00 p. m.,1/26/2014,5:45:00 p. m.,ARC,THEFT OVER,ADMIN. CLOSE
,,,,,,,
FI140260196,1/26/2014,12:02:00 a. m.,1/26/2014,12:02:00 a. m.,OGLESBY RESD HALL,DRGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140260052,1/26/2014,1:44:00 a. m.,1/26/2014,1:44:00 a. m.,ALLEN RESIDENCE HALL,DRUGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00162-2014,1/26/2014,2:35:00 a. m.,1/26/2014,2:35:00 a. m.,LEONARD RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00166-2014,1/26/2014,3:30:00 a. m.,1/26/2014,3:30:00 a. m.,LUNDGREN RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400124,1/27/2014,12:39:00 p. m.,12/20/2013,12:00:00 p. m.,ILLINI UNION,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400125,1/27/2014,12:57:00 p. m.,1/27/2014,11:00:00 a. m.,LINCOLN HALL,THEFT-LOST/MISLAID PROPERTY,ADMIN. CLOSE
,,,,,,,
II1400126,1/27/2014,1:38:00 p. m.,1/27/2014,1:38:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400127,1/27/2014,5:34:00 p. m.,1/27/2014,10:30:00 a. m.,UNDERGRAD LIBRARY,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400129,1/27/2014,11:10:00 p. m.,1/27/2014,9:30:00 p. m.,SCOTT RESIDENCE HALL,CANNABIS-POSS 30 GM & UNDER,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400129,1/27/2014,11:10:00 p. m.,1/27/2014,9:30:00 p. m.,SCOTT RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00175-2014,1/27/2014,11:55:00 p. m.,1/27/2014,11:55:00 p. m.,SCOTT RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400091,1/28/2014,2:16:00 p. m.,1/22/2014,2:16:00 p. m.,900 blk of OAK ST S,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
II1400134,1/28/2014,12:42:00 p. m.,1/28/2014,12:42:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400135,1/28/2014,1:55:00 p. m.,1/28/2014,1:54:00 p. m.,WESTON RESIDENCE HALL,CONTROLLED SUBSTANCE-,PENDING
,,,,,,POSSESSION,
II1400135,1/28/2014,1:55:00 p. m.,1/28/2014,1:54:00 p. m.,WESTON RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,ARREST
,,,,,,,
II1400135,1/28/2014,1:55:00 p. m.,1/28/2014,1:54:00 p. m.,WESTON RESIDENCE HALL,CANNABIS-POSS 30 GM & UNDER,ARREST
,,,,,,,
II1400136,1/28/2014,3:09:00 p. m.,1/28/2014,3:09:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
II1400138,1/28/2014,6:09:00 p. m.,1/28/2014,6:09:00 p. m.,1100 blk of STOUGHTON ST,CANNABIS-DELIVERY OVER 30GM,ARREST
,,,,,,,
II1400139,1/28/2014,9:10:00 p. m.,1/28/2014,2:45:00 p. m.,ILLINI UNION,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400140,1/28/2014,10:48:00 p. m.,1/28/2014,10:45:00 p. m.,ASHTON WOODS,BATTERY-DOMESTIC,ARREST
,,,,,,,
II1400141,1/28/2014,11:55:00 p. m.,1/26/2014,2:00:00 a. m.,ILLINI UNION,CRIMINAL DAMAGE GOVT SUPPORT,ARREST
,,,,,,PROP,
FI140230312,1/28/2014,5:56:00 p. m.,1/28/2014,5:56:00 p. m.,ILLINI UNION BOOKSTORE,THEFT,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI140280024,1/28/2014,1:40:00 a. m.,1/28/2014,1:40:00 a. m.,ILLINI UNION,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00184-2014,1/28/2014,11:25:00 p. m.,1/28/2014,11:25:00 p. m.,SHELDON RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400143,1/29/2014,2:20:00 a. m.,1/29/2014,2:20:00 a. m.,SPEECH-HEARING,PUBLIC URINATION (C),ARREST
,,,,,,,
II1400147,1/29/2014,5:48:00 p. m.,1/29/2014,5:48:00 p. m.,FLORIDA AV W / RACE,WARRANT-IN STATE,ARREST
,,,,,,,
II1400147,1/29/2014,5:48:00 p. m.,1/29/2014,5:48:00 p. m.,FLORIDA AV W / RACE,DRUG EQUIPMENT-POSSESSION,ARREST
,,,,,,,
II1400147,1/29/2014,5:48:00 p. m.,1/29/2014,5:48:00 p. m.,FLORIDA AV W / RACE,CONTROLLED SUBSTANCE-,PENDING
,,,,,,POSSESSION,
II1400149,1/29/2014,9:54:00 p. m.,1/29/2014,6:49:00 p. m.,ARC,THEFT UNDER,ARREST
,,,,,,,
CC1400276,1/29/2014,12:00:00 a. m.,1/12/2014,1:35:00 a. m.,JOE'S BREWERY,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
CC1400508,1/29/2014,12:00:00 a. m.,1/20/2014,12:50:00 a. m.,FAT SANDWICH,SIMPLE ASSAULT,REPORTED TO OTHER
,,,,,,,AGENCY
