Incident;Date reported;Time reported;Date occurred;Time occurred;General Location;Crime Description;Disposition;
II1900022;1/9/2019;11:53;1/9/2019;11:50;DANIELS RESIDENCE HALL;CANNABIS POSS 10 GM OR LESS -ORD;STUDENT DISCIPLINE REFERRAL;
;;;;;;;;
II1900023;1/9/2019;21:09;1/9/2019;21:09;100 blk of BUSEY AV N;WARRANT-IN STATE;ARREST;
;;;;;;;;
II1900027;1/11/2019;0:50;1/11/2019;0:50;1300 blk of LINCOLN AVE N;POSSESSION STOLEN PROPERTY;ARREST;
;;;;;;;;
II1900027;1/11/2019;0:50;1/11/2019;0:50;1300 blk of LINCOLN AVE N;RECOVERED STOLEN VEHICLE;ADMIN. CLOSE;
;;;;;;;;
II1900027;1/11/2019;0:50;1/11/2019;0:50;1300 blk of LINCOLN AVE N;CONTROLLED SUBSTANCE-POSSESSION;ARREST;
;;;;;;;;
II1900027;1/11/2019;0:50;1/11/2019;0:50;1300 blk of LINCOLN AVE N;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
II1900031;1/13/2019;14:26;12/1/2018;12:00;ALTGELD HALL;THEFT $500 AND UNDER;ADMIN. CLOSE;
;;;;;;;;
UU1900184;1/13/2019;7:00;1/12/2019;19:19;902 S LINCOLN AVE, URBANA;DOMESTIC BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900311;1/14/2019;0:00;1/13/2019;20:00;1000 blk of LOCUST ST;CANNABIS POSS OVER 10 - 100 G -MISD;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900311;1/14/2019;0:00;1/13/2019;20:00;1000 blk of LOCUST ST;ROBBERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900311;1/14/2019;0:00;1/13/2019;20:00;1000 blk of LOCUST ST;POSSESSION W/INTENT TO DELIVER;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900311;1/14/2019;0:00;1/13/2019;20:00;1000 blk of LOCUST ST;POSS OF DRUG PARAPHERNALIA -ORD;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900311;1/14/2019;0:00;1/13/2019;20:00;1000 blk of LOCUST ST;CONTROLLED SUBSTANCE-POSSESSION;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1900033;1/14/2019;0:21;1/13/2019;22:00;ORCHARD DOWNS APARTMENTS;BATTERY-AGGRAVATED;ARREST;
;;;;;;;;
II1900033;1/14/2019;0:21;1/13/2019;22:00;ORCHARD DOWNS APARTMENTS;BATTERY-DOMESTIC;ARREST;
;;;;;;;;
II1900034;1/14/2019;13:42;1/14/2019;11:00;700 blk of BIRCH ST S;DECEPTIVE PRACTICES;ADMIN. CLOSE;
;;;;;;;;
II1900039;1/14/2019;17:28;1/14/2019;17:28;ACTIVIES AND RECREATION;THEFT OF LOST/MISLAID PROPERTY;ADMIN. CLOSE;
;;;;;;;;
IF1900031;1/15/2019;22:14;1/15/2019;22:14;WASSAJA RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
00002-2019;1/16/2019;8:03;1/7/2019;0:01;PAR MAIN BUILDING;FURNISHING ALCOHOL TO MINOR;STUDENT DISC REFERRAL;
;;;;;;;;
00012-2019;1/16/2019;8:09;1/13/2019;20:45;SNYDER RESIDENCE HALL;LIQUOR-ILLEGAL POSS. BY MINOR;STUDENT DISC REFERRAL;
;;;;;;;;
00014-2019;1/16/2019;8:14;1/13/2019;23:40;BUSEY RESIDENCE HALL;LIQUOR-ILLEGAL POSS. BY MINOR;STUDENT DISC REFERRAL;
;;;;;;;;
00047-2019;1/16/2019;8:22;1/14/2019;20:55;HOPKINS RESIDENCE HALL;LARCENY;ADMIN CLOSED;
;;;;;;;;
00051-2019;1/16/2019;8:29;1/15/2019;1:10;WESTON RESIDENCE HALL;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
CC1900143;1/16/2019;0:00;1/6/2019;10:00;100 blk of S WRIGHT ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900143;1/16/2019;0:00;1/6/2019;10:00;100 blk of S WRIGHT ST;FRAUD-CREDIT CARD;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900143;1/16/2019;0:00;1/6/2019;10:00;100 blk of S WRIGHT ST;POSSESSION STOLEN PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900143;1/16/2019;0:00;1/6/2019;10:00;100 blk of S WRIGHT ST;PEDESTRIAN STOPS;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900339;1/16/2019;0:00;1/15/2019;9:30;500 blk of S FIRST ST;BATTERY-DOMESTIC;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1900042;1/16/2019;9:26;1/15/2019;22:00;700 blk of ELM BLVD S;THEFT OVER $500;UNFOUNDED;
;;;;;;;;
II1900044;1/16/2019;11:32;1/16/2019;11:32;ALLEN RESIDENCE HALL;BATTERY-DOMESTIC;ARREST;
;;;;;;;;
II1900045;1/16/2019;13:42;1/14/2019;7:00;FIFTH S / WHITE;FRAUD-CREDIT CARD;PENDING;
;;;;;;;;
II1900047;1/16/2019;20:01;1/16/2019;20:01;2000 blk of PHILO RD S;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
UU1900227;1/16/2019;7:00;1/15/2019;11:26;702 W ELM ST, URBANA;DOMESTIC BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
00137-2019;1/17/2019;15:37;1/17/2019;1:00;HOPKINS RESIDENCE HALL;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
CC1900388;1/17/2019;7:00;1/17/2019;3:24;302 E JOHN ST, CHAMPAIGN;DOMESTIC BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CSA19-003;1/17/2019;13:57;1/13/2019;UNKNOWN;SORORITY;RAPE;ADMIN CLOSED;
;;;;;;;;
II1900048;1/17/2019;4:06;1/17/2019;4:06;COBLE HALL;PUBLIC INDECENCY;ARREST;
;;;;;;;;
II1900052;1/17/2019;10:12;9/3/2018;3:00;GREEN STREET E / SECOND;THEFT-IDENTITY;ADMIN. CLOSE;
;;;;;;;;
II1900052;1/17/2019;10:12;9/3/2018;3:00;GREEN STREET E / SECOND;OBSTRUCTING JUSTICE;ADMIN. CLOSE;
;;;;;;;;
II1900056;1/17/2019;15:48;1/17/2019;15:48;ILLINI UNION BOOKSTORE;THEFT-RETAIL;ARREST;
;;;;;;;;
II1900060;1/17/2019;20:53;1/17/2019;19:33;ACTIVITIES AND RECREATION;THEFT OVER $500;ADMIN. CLOSE;
;;;;;;;;
II1900061;1/17/2019;20:37;1/17/2019;20:37;BEECH ST / ROMINE;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
CC1900416;1/18/2019;0:00;1/18/2019;3:02;900 blk of LOCUST ST;BATTERY-DOMESTIC;REPORTED TO OTHER AGENCY;
;;;;;;;;
IF1900040;1/18/2019;23:00;1/18/2019;23:00;TOWNSEND RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
IF1900057;1/18/2019;23:00;1/18/2019;23:00;TOWNSEND RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
II1900065;1/18/2019;17:07;1/18/2019;16:10;ACTIVITIES RECREATION CEN;THEFT $500 AND UNDER;ADMIN. CLOSE;
;;;;;;;;
II1900067;1/18/2019;15:38;1/18/2019;15:37;AERONOMY LAB;CRIMINAL DAMAGE TO PROPERTY;ADMIN. CLOSE;
;;;;;;;;
II1900069;1/18/2019;23:23;1/18/2019;23:23;1900 blk of CR 3000N;METRO ACTIVATION;ADMIN. CLOSE;
;;;;;;;;
IF1900047;1/20/2019;2:11;1/20/2019;2:11;ALLEN RESIDENCE HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
IF1900048;1/20/2019;1:20;1/20/2019;1:20;BARTON RESIDENCE HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
IF1900053;1/20/2019;21:25;1/20/2019;21:25;TRELEASE RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
II1900071;1/20/2019;3:41;1/20/2019;2:20;HOPKINS RESIDENCE HALL;BURGLARY;ADMIN. CLOSE;
;;;;;;;;
UU1900303;1/20/2019;7:00;1/20/2019;0:59;703 W ILLINOIS ST, URBANA;BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
IF1900056;1/21/2019;1:30;1/21/2019;1:30;HOPKINS RESIDENCE HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
II1900076;1/21/2019;8:54;1/19/2019;1:00;ILLINI UNION;THEFT OVER $500;PENDING;
;;;;;;;;
II1900076;1/21/2019;8:54;1/19/2019;1:00;ILLINI UNION;TRESPASS-STATE SUPPORTED LAND;PENDING;
;;;;;;;;
CC1900229;1/22/2019;0:00;9/11/2018;23:00;CLYBOURNE BAR;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900230;1/22/2019;0:00;9/15/2018;0:01;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900232;1/22/2019;0:00;9/1/2018;22:00;CLYBOURNE BAR;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900233;1/22/2019;0:00;9/27/2018;22:00;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900297;1/22/2019;0:00;1/11/2019;17:00;900 blk of LOCUST ST;THEFT OF MOTOR VEH PARTS & ACCESS;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900328;1/22/2019;0:00;12/17/2018;16:00;200 blk of W GREEN ST;THEFT-MOTOR VEHICLE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900335;1/22/2019;0:00;12/2/2018;8:00;400 blk of CHALMERS ST;DECEPTIVE PRACTICES;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900341;1/22/2019;0:00;1/15/2019;3:00;blk of CHALMERS ST;CRIMINAL DAMAGE TO PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900349;1/22/2019;0:00;1/15/2019;17:59;1000 blk of S FIRST ST;CRIMINAL DAMAGE TO PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900388;1/22/2019;0:00;1/17/2019;3:22;300 blk of E JOHN ST;BATTERY-DOMESTIC;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900388;1/22/2019;0:00;1/17/2019;3:22;300 blk of E JOHN ST;CRIMINAL DAMAGE TO PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1900081;1/22/2019;9:57;1/22/2019;9:57;ILLINI UNION BOOKSTORE;THEFT-RETAIL;ADMIN. CLOSE;
;;;;;;;;
II1900085;1/22/2019;22:52;1/22/2019;13:25;SHERMAN RESIDENCE HALL;DECEPTIVE PRACTICES;ADMIN. CLOSE;
;;;;;;;;
00167-2019;1/23/2019;12:25;1/17/2019;14:30;BOUSFIELD RESIDENCE HALL;FURNISHING ALCOHOL TO MINOR;STUDENT DISC REFERRAL;
;;;;;;;;
CSA19-005;1/23/2019;15:46;12/21/2018;20:00;PRIVATE BUSINESS;FONDLING;ADMIN CLOSED;
;;;;;;;;
II1900090;1/23/2019;15:08;12/10/2018;17:00;FACILITIES AND SERVICES;THEFT OVER $500;ADMIN. CLOSE;
;;;;;;;;
CC1809905;1/24/2019;0:00;12/10/2018;15:40;300 blk of E GREEN ST;BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809905;1/24/2019;0:00;12/10/2018;15:40;300 blk of E GREEN ST;BATTERY-DOMESTIC;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900455;1/24/2019;0:00;1/19/2019;0:01;800 blk of S THIRD ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900461;1/24/2019;0:00;1/19/2019;13:30;JOES BREWERY;THEFT OVER $500;REPORTED TO OTHER AGENCY;
;;;;;;;;
CSA19-006;1/24/2019;15:13;2017;UNKNOWN;FRATERNITY;RAPE;ADMIN CLOSED;
;;;;;;;;
CSA19-007;1/24/2019;15:15;2018;UNKNOWN;PRIVATE APARTMENT;RAPE;ADMIN CLOSED;
;;;;;;;;
CSA19-011;1/24/2019;16:59;2015;UNKNOWN;UNKNOWN LOCATION;RAPE;ADMIN CLOSED;
;;;;;;;;
IF1900068;1/24/2019;3:56;1/24/2019;3:56;BUSINESS INSTRUCTIONAL FACILITY;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1900071;1/24/2019;23:11;1/24/2019;23:11;TOWNSEND RESIDENCE HALL;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
II1900094;1/24/2019;16:06;1/24/2019;15:53;ILLINI UNION BOOKSTORE;THEFT-RETAIL;ARREST;
;;;;;;;;
CC1900581;1/25/2019;0:00;1/25/2019;4:32;COUNTY MARKET;TRESPASS TO LAND/REAL PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900581;1/25/2019;0:00;1/25/2019;4:32;COUNTY MARKET;ASSAULT;REPORTED TO OTHER AGENCY;
;;;;;;;;
CSA19-010;1/25/2019;9:08;2018;UNKNOWN;UNKNOWN LOCATION;RAPE;ADMIN CLOSED;
;;;;;;;;
CSA19-012;1/25/2019;8:50;11/1/2018;UNKNOWN;FRATERNITY;RAPE;ADMIN CLOSED;
;;;;;;;;
IF1900073;1/25/2019;22:54;1/25/2019;22:54;VAN DOREN RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
IF1900075;1/25/2019;1:15;1/25/2019;1:15;HUFF HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
II1900097;1/25/2019;15:28;1/17/2019;7:05;ST LOUIS;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
IF1900076;1/26/2019;2:07;1/26/2019;2:07;OGLESBY RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
IF1900078;1/26/2019;1:43;1/26/2019;1:43;PARKING LOT E-14;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
II1900101;1/26/2019;6:06;1/26/2019;6:06;SAUNDERS RESIDENCE HALL;DOMESTIC DISPUTE;PENDING;
;;;;;;;;
IF1900079;1/27/2019;1:55;1/27/2019;1:55;BABCOCK RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
IF1900080;1/27/2019;2:14;1/27/2019;2:14;WARDALL RESIDENCE HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
II1900107;1/27/2019;16:19;1/27/2019;15:50;GRAINGER LIBRARY;THEFT OVER $500;ADMIN. CLOSE;
;;;;;;;;
CC1900393;1/28/2019;0:00;8/24/2018;21:00;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CSA19-014;1/28/2019;14:32;2/1/2018;UNKNOWN;UNKNOWN LOCATION;RAPE;ADMIN CLOSED;
;;;;;;;;
II1900112;1/28/2019;13:47;1/26/2019;12:00;WASSAJA RESIDENCE HALL;THEFT OVER $500;ADMIN. CLOSE;
;;;;;;;;
UU1900423;1/28/2019;0:00;1/27/2019;0:47;800 blk of NEVADA ST W;NOISE PROHIBITION;REPORTED TO OTHER AGENCY;
;;;;;;;;
00272-2019;1/29/2019;10:17;1/27/2019;2:03;SNYDER RESIDENCE HALL;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
CC1809650;1/29/2019;0:00;12/2/2018;3:29;900 blk of S OAK ST;BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809650;1/29/2019;0:00;12/2/2018;3:29;900 blk of S OAK ST;AGG DISCHARGE OF FIREARM;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809702;1/29/2019;0:00;12/3/2018;15:24;500 blk of E WHITE ST;THEFT $500 AND UNDER;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809755;1/29/2019;0:00;12/5/2018;12:30;400 blk of E HEALEY ST;THEFT $500 AND UNDER;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809758;1/29/2019;0:00;12/5/2018;12:59;400 blk of E HEALEY;THEFT $500 AND UNDER;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809803;1/29/2019;0:00;12/7/2018;3:31;400 blk of E UNIVERSITY AV;BATTERY-DOMESTIC;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809823;1/29/2019;0:00;12/6/2018;17:55;500 blk of E GREEN ST;THEFT-RETAIL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809823;1/29/2019;0:00;12/6/2018;17:55;500 blk of E GREEN ST;BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809884;1/29/2019;0:00;12/9/2018;22:27;E KIRBY AVE / S FIRST ST;WARRANT-IN STATE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1809975;1/29/2019;0:00;12/12/2018;19:08;HAMMERHEAD COFFEE;TRESPASSING;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810020;1/29/2019;0:00;12/14/2018;2:37;500 blk of STOUGHTON ST;SPECIFIC NOISE PROHIBITED;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810025;1/29/2019;0:00;12/13/2018;6:30;CIRCLE K;THEFT-RETAIL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810186;1/29/2019;0:00;12/20/2018;1:00;400 blk of E UNIVERSITY AVE;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810334;1/29/2019;0:00;12/26/2018;18:13;SUBWAY;WARRANT-IN STATE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1810444;1/29/2019;0:00;12/30/2018;14:22;CIRCLE K;THEFT-RETAIL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900534;1/29/2019;0:00;1/22/2019;23:57;500 blk of E UNIVERSITY AV;UNLAWFUL RESTRAINT;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900534;1/29/2019;0:00;1/22/2019;23:57;500 blk of E UNIVERSITY AV;BATTERY-DOMESTIC;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900534;1/29/2019;0:00;1/22/2019;23:57;500 blk of E UNIVERSITY AV;SEXUAL ABUSE-CRIMINAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900534;1/29/2019;0:00;1/22/2019;23:57;500 blk of E UNIVERSITY AV;SUICIDE THREAT-NO ATTEMPT;REPORTED TO OTHER AGENCY;
;;;;;;;;
IF1900090;1/29/2019;1:14;1/29/2019;1:14;VAN DOREN RESIDENCE HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
IF1900095;1/29/2019;21:10;1/29/2019;21:10;TOWNSEND RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
UU1805917;1/29/2019;0:00;12/1/2018;14:00;900 blk of STOUGHTON ST;CRIMINAL DAMAGE TO PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
UU1805917;1/29/2019;0:00;12/1/2018;14:00;900 blk of STOUGHTON ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
UU1900198;1/29/2019;0:00;12/15/2018;12:00;100 blk of GREGORY ST S;BURGLARY;REPORTED TO OTHER AGENCY;
;;;;;;;;
UU1900441;1/29/2019;7:00;1/28/2019;16:16;405 S ORCHARD ST, URBANA;DISORDERLY CONDUCT;REPORTED TO OTHER AGENCY;
;;;;;;;;
UU1900447;1/29/2019;7:00;1/29/2019;1:44;902 S LINCOLN AVE, URBANA;DOMESTIC BATTERY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CSA19-015;1/30/2019;10:29;10/1/2018;UNKNOWN;300 BLK SPRINGFIELD AVE, CHAMPAIGN;FONDLING;ADMIN CLOSED;
;;;;;;;;
CSA19-016;1/30/2019;15:11;1/30/2019;UNKNOWN;UNKNOWN LOCATION;RAPE;ADMIN CLOSED;
;;;;;;;;
CC1900517;2/1/2019;0:00;1/16/2019;2:00;300 blk of E GREEN ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900551;2/1/2019;0:00;1/23/2019;20:55;100 blk of E SPRINGFIELD AV;RECOVERED PROPERTY ONLY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900574;2/1/2019;0:00;1/17/2019;23:15;600 blk of E GREEN ST;THEFT OF LOST/MISLAID PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900601;2/1/2019;0:00;1/25/2019;16:00;300 blk of E ARMORY AVE;THEFT OF LOST/MISLAID PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900621;2/1/2019;0:00;1/26/2019;17:44;COUNTY MARKET;RETAIL THEFT;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900643;2/1/2019;0:00;1/27/2019;4:04;CIRCLE K;TRESPASS TO LAND/REAL PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1900667;2/1/2019;0:00;1/19/2019;14:00;500 blk of STOUGHTON ST;THEFT $500 AND UNDER;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1900128;2/1/2019;13:33;1/28/2019;17:09;MEDICAL SCIENCES BLDG;DECEPTIVE PRACTICES;ADMIN. CLOSE;
;;;;;;;;
