Incident;Date reported;Time reported;Date occurred;Time occurred;General Location;Crime Description;Disposition;
CSA17-02;1/17/2017;8:00;1/15/2017;UNKNOWN;UNKNOWN PRIVATE APT;RAPE;ADMIN CLOSED;
;;;;;;;;
CSA17-03;1/17/2017;16:59;1/17/2016;16:59;UNKNOWN LOCATION;RAPE;ADMIN CLOSED;
;;;;;;;;
IF1700042;1/18/2017;2:37;1/18/2017;2:37;FOURTH ST / CHALMERS ST;LIQUOR - UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
00053-2017;1/18/2017;9:55;1/17/2017;19:30;TRELEASE RES HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
CSA17-04;1/18/2017;19:25;1/18/2017;19:13;1010 W UNIVERSITY;RAPE;ADMIN CLOSED;
;;;;;;;;
CSA16-130;1/19/2017;15:08;5/19/2016;0:00;UNKNOWN LOCATION;SEX OFFENSE;ADMIN CLOSED;
;;;;;;;;
IF1700048;1/19/2017;2:20;1/19/2017;2:20;1110 DORNER DR;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700049;1/19/2017;3:00;1/19/2017;3:00;HOPKINS RESIDENCE HALL;LIQUOR - UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
CSA17-05;1/19/2017;9:03;1/17/2017;UNKNOWN;UNKNOWN PRIVATE APT;RAPE;ADMIN CLOSED;
;;;;;;;;
II1700053;1/20/2017;21:26;1/20/2017;18:00;GRAINGER LIBRARY;THEFT $500 AND UNDER;ARREST;
;;;;;;;;
II1700053;1/20/2017;21:26;1/20/2017;18:00;GRAINGER LIBRARY;FRAUD-CREDIT CARD;ARREST;
;;;;;;;;
IT1700029;1/20/2017;19:53;1/20/2017;19:53;BARTON RESIDENCE HALL;CANNABIS POSS 10 GM OR LESS -ORD;ARREST;
;;;;;;;;
IF1700054;1/20/2017;20:15;1/20/2017;20:15;LUNDGREN RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700055;1/20/2017;21:10;1/20/2017;21:10;ILLINI UNION BOOKSTORE;LARCENY;ADMIN CLOSED;
;;;;;;;;
IF1700057;1/20/2017;19:40;1/20/2017;19:40;WESTON RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
00087-2017;1/20/2017;9:45;1/19/2017;23:26;WESTON RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
CSA17-06;1/20/2017;9:06;1/19/2017;18:03;CAMPUS RECREATION CENTER;STALKING;ADMIN CLOSED;
;;;;;;;;
II1700056;1/21/2017;2:12;1/21/2017;2:12;LINCOLN AVE S / INDIANA;DRIVING UNDER THE INFL-ALCOHOL;ARREST;
;;;;;;;;
II1700056;1/21/2017;2:12;1/21/2017;2:12;LINCOLN AVE S / INDIANA;BREATH ALCOHOL OVER LIMIT;ARREST;
;;;;;;;;
IT1700031;1/21/2017;19:35;1/21/2017;19:35;WESTON RESIDENCE HALL;CANNABIS POSS 10 GM OR LESS -ORD;ARREST;
;;;;;;;;
IF1700059;1/21/2017;1:04;1/21/2017;1:04;WASSAJA RESIDENCE HALL;LIQUOR - UNDERAGE;ADMIN CLOSED;
;;;;;;;;
IF1700064;1/21/2017;4:38;1/21/2017;4:38;OGELSBY RESIDENCE HALL;LIQUOR - UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700065;1/21/2017;2:26;1/21/2017;2:26;SCOTT RESIDENCE HALL;LARCENY;ADMIN CLOSED;
;;;;;;;;
IF1700068;1/21/2017;22:25;1/21/2017;22:25;HOPKINS RESIDENCE HALL;LIQUOR - UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700069;1/21/2017;21:14;1/21/2017;21:14;NEVADA ST / GOODWIN AV;LIQUOR - OPEN ALCOHOL;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700070;1/21/2017;23:07;1/21/2017;23:07;JOES BREWERY;DOMESTIC DISPUTE;ADMIN CLOSED;
;;;;;;;;
IF1700071;1/21/2017;0:44;1/21/2017;0:44;SYNDER RESIDENCE HALL;LIQUOR - UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
CSA17-07;1/21/2017;21:40;1/20/2017;UNKNOWN;1000 BLK COLLEGE CT;RAPE;ADMIN CLOSED;
;;;;;;;;
II1700057;1/22/2017;1:03;1/22/2017;1:03;DANIEL ST / SIXTH ST;RESIST/OBS CORRECT/POLICE/FIRE;ARREST;
;;;;;;;;
IT1700036;1/22/2017;2:29;1/22/2017;2:29;WESTON RESIDENCE HALL;POSS OF DRUG PARAPHERNALIA -ORD;ARREST;
;;;;;;;;
II1700060;1/22/2017;18:11;1/22/2017;18:00;ARC;BATTERY-DOMESTIC;ARREST;
;;;;;;;;
IT1700036;1/22/2017;2:29;1/22/2017;2:29;WESTON RESIDENCE HALL;CANNABIS POSS 10 GM OR LESS -ORD;ARREST;
;;;;;;;;
IF1700074;1/22/2017;2:42;1/22/2017;2:42;NEIL ST / HEALEY;VERBAL DOMESTIC;ADMIN CLOSED;
;;;;;;;;
IF1700075;1/22/2017;21:30;1/22/2017;21:30;LUNDGREN RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700078;1/22/2017;1:57;1/22/2017;1:57;WESTON RESIDENCE HALL;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700079;1/22/2017;0:42;1/22/2017;0:42;JOES BREWERY;DRUGS;ADMIN CLOSED;
;;;;;;;;
CSA17-08;1/22/2017;19:08;1/19/2017;19:48;UNKNOWN OFF CAMPUS;DOMESTIC OFFENSE;ADMIN CLOSED;
;;;;;;;;
II1700064;1/23/2017;15:15;1/15/2017;15:00;PARKING LOT C-16;CRIMINAL DAMAGE TO PROPERTY;ADMIN. CLOSE;
;;;;;;;;
II1700066;1/23/2017;22:01;1/23/2017;22:01;SHELDON RESIDENCE HALL;ASSAULT;STUDENT DISCIPLINE REFERRAL;
;;;;;;;;
II1700061;1/23/2017;9:18;1/22/2017;19:00;ORCHARD DOWNS;THEFT $500 AND UNDER;ADMIN. CLOSE;
;;;;;;;;
II1700063;1/23/2017;13:56;1/23/2017;13:56;ILLINI UNION BOOKSTORE;THEFT-RETAIL;ARREST;
;;;;;;;;
IF1700081;1/23/2017;15:00;1/23/2017;15:00;LUNDGREN RESIDENCE HALL;VERBAL DOMESTIC;ADMIN CLOSED;
;;;;;;;;
IF1700087;1/23/2017;16:38;1/23/2017;16:38;TOWNSEND RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
00102-2017;1/23/2017;10:31;1/20/2017;23:10;WESTON RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
00111-2017;1/23/2017;10:26;1/20/2017;1:45;WESTON RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
00118-2017;1/23/2017;10:22;1/22/2017;2:00;WESTON RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
CSA17-10;1/23/2017;16:30;1/16/2017;UNKNOWN;PRIVATE APARTMENT;RAPE;ADMIN CLOSED;
;;;;;;;;
CC1700290;1/24/2017;0:00;1/11/2017;16:00;1000 blk of LOCUST ST;BURGLARY FROM MOTOR VEHICLE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700283;1/24/2017;0:00;1/11/2017;12:40;CAFE BENE;DECEPTIVE PRACTICES;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700370;1/24/2017;0:00;1/14/2017;18:43;400 blk of E GREEN ST;EXCITED DELIRIUM;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700126;1/24/2017;0:00;8/20/2016;23:30;200 blk of E GREEN ST;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700216;1/24/2017;0:00;9/2/2016;23:00;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700004;1/24/2017;0:00;1/1/2017;2:18;800 blk of S LOCUST ST;MIP ALCOHOL/LIQUOR;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700040;1/24/2017;0:00;10/31/2016;21:30;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700332;1/24/2017;0:00;1/13/2017;2:20;FOURTH / GREEN;DRIVING UNDER THE INFL-ALCOHOL;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1700069;1/24/2017;11:34;1/24/2017;11:34;ILLINI UNION;DISORDERLY CONDUCT-ALL OTHER;ARREST;
;;;;;;;;
CC1700430;1/24/2017;0:00;1/16/2017;19:30;300 blk of E CLARK ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700076;1/24/2017;0:00;1/3/2017;8:30;400 blk of E UNIVERSITY AV;THEFT-MOTOR VEHICLE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700435;1/24/2017;0:00;1/17/2017;1:40;RED LION;TRESPASS TO LAND/REAL PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700370;1/24/2017;0:00;1/14/2017;18:43;400 blk of E GREEN ST;USE OF FORCE BY OFFICER;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1700071;1/24/2017;19:53;1/24/2017;19:26;ARC;THEFT $500 AND UNDER;ARREST;
;;;;;;;;
II1700073;1/24/2017;20:51;1/24/2017;20:51;ARC;THEFT OVER $500;ADMIN. CLOSE;
;;;;;;;;
CC1700367;1/24/2017;0:00;1/14/2017;14:17;blk of E HEALEY ST;DOMESTIC DISPUTE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700063;1/24/2017;0:00;12/22/2016;15:00;600 blk of E CLARK ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700304;1/24/2017;0:00;8/12/2016;23:00;RED LION BAR;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700428;1/24/2017;0:00;1/16/2017;19:30;300 blk of E CLARK ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700004;1/24/2017;0:00;1/1/2017;2:18;800 blk of S LOCUST ST;DAMAGING PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
II1700070;1/24/2017;15:40;1/24/2017;15:40;WRIGHT ST S / DANIEL ST;THEFT-RETAIL;ARREST;
;;;;;;;;
CC1700102;1/24/2017;0:00;1/4/2017;9:30;500 blk of S SIXTH ST;BURGLARY FROM MOTOR VEHICLE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700129;1/24/2017;0:00;10/15/2016;23:00;JOES BREWERY;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700018;1/24/2017;0:00;1/1/2017;2:00;THIRD ST / E JOHN ST;BATTERY-AGGRAVATED;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700120;1/24/2017;0:00;1/4/2016;10:00;900 blk of S FOURTH ST;FRAUD-CREDIT CARD;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700130;1/24/2017;0:00;9/17/2016;21:00;JOES BREWERY;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700312;1/24/2017;0:00;1/11/2017;14:00;300 blk of E SPRINGFIELD AV;SEXUAL-ASSAULT-CRIMINAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700332;1/24/2017;0:00;1/13/2017;2:20;FOURTH / GREEN;BREATH ALCOHOL OVER LIMIT;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700092;1/24/2017;0:00;1/3/2017;19:52;COUNTY MARKET;THEFT-RETAIL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700303;1/24/2017;0:00;10/23/2016;0:01;JOE'S BREWERY;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700361;1/24/2017;0:00;12/10/2016;2:00;300 blk of E ARMORY;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700035;1/24/2017;0:00;10/1/2016;17:00;CLYBOURNE;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700409;1/24/2017;0:00;1/15/2017;17:00;200 blk of E HEALEY ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700332;1/24/2017;0:00;1/13/2017;2:20;FOURTH / GREEN;IMPOUNDED VEHICLE;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700038;1/24/2017;0:00;10/27/2016;23:00;RED LION;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700367;1/24/2017;0:00;1/14/2017;14:17;blk of E HEALEY ST;CRIMINAL DAMAGE TO PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700287;1/24/2017;0:00;1/11/2017;14:13;JIMMY JOHNS;DECEPTIVE PRACTICES;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700432;1/24/2017;0:00;1/16/2017;21:27;JOHN ST / THIRD ST;ROBBERY-ARMED;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700271;1/24/2017;0:00;1/11/2017;4:25;200 blk of S THIRD ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700090;1/24/2017;0:00;12/31/2016;20:00;500 blk of S FIRST ST;CRIMINAL DAMAGE TO PROPERTY;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700332;1/24/2017;0:00;1/13/2017;2:20;FOURTH / GREEN;TRAFFIC SIGNAL VIOLATION;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700223;1/24/2017;0:00;10/29/2016;16:00;JOE'S BREWERY;UNLAWFUL USE OF I.D.;REPORTED TO OTHER AGENCY;
;;;;;;;;
CC1700387;1/24/2017;0:00;12/17/2016;10:00;blk of E JOHN ST;BURGLARY RESIDENTIAL;REPORTED TO OTHER AGENCY;
;;;;;;;;
IF1700085;1/24/2017;15:30;1/24/2017;15:30;WESTON RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
IF1700089;1/24/2017;19:28;1/24/2017;19:28;TAFT RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700091;1/24/2017;20:33;1/24/2017;20:33;TRELEASE RESIDENCE HALL;VERBAL DOMESTIC;ADMIN CLOSED;
;;;;;;;;
IF1700124;1/24/2017;1:56;1/24/2017;1:56;MERRY ANNES DINER;FIGHT;ADMIN CLOSED;
;;;;;;;;
00122-2017;1/24/2017;13:33;1/23/2017;14:15;WESTON RES HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
00126-2017;1/24/2017;13:18;1/23/2017;23:54;TAFT RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
II1700077;1/25/2017;15:15;1/25/2017;15:15;ILLINI UNION BOOKSTORE;THEFT-RETAIL;ARREST;
;;;;;;;;
II1700075;1/25/2017;11:43;1/25/2017;11:43;POST I;THEFT $500 AND UNDER;ADMIN. CLOSE;
;;;;;;;;
II1700077;1/25/2017;15:15;1/25/2017;15:15;ILLINI UNION BOOKSTORE;BATTERY-AGGRAVATED;ARREST;
;;;;;;;;
II1700077;1/25/2017;15:15;1/25/2017;15:15;ILLINI UNION BOOKSTORE;RESIST/OBS CORRECT/POLICE/FIRE;ARREST;
;;;;;;;;
IF1700095;1/25/2017;1:23;1/25/2017;1:23;SIXTH ST / GREEN ST;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700096;1/25/2017;1:07;1/25/2017;1:07;WRIGHT ST / DANIEL ST;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700098;1/25/2017;0:35;1/25/2017;0:35;SAUNDERS RESIDENCE HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
IF1700099;1/25/2017;20:30;1/25/2017;20:30;ALLEN RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700100;1/25/2017;23:30;1/25/2017;23:30;SHELDON RESIDENCE HALL;DRUGS;STUDENT DISC REFERRAL;
;;;;;;;;
CSA17-11;1/25/2017;13:57;1/25/2017;11:02;UNKNOWN LOCATION;HARASSMENT;ADMIN CLOSED;
;;;;;;;;
II1700084;1/26/2017;22:30;1/26/2017;21:50;CRCE;TRESPASS-STATE SUPPORTED LAND;ADMIN. CLOSE;
;;;;;;;;
II1700085;1/26/2017;23:35;1/26/2017;22:00;CRCE;THEFT-IDENTITY;PENDING;
;;;;;;;;
II1700032;1/26/2017;20:47;1/26/2017;20:47;VAN DOREN RESIDENCE HALL;DRUG PARAPHERNALIA-SALE/DELIVERY;PENDING;
;;;;;;;;
II1700084;1/26/2017;22:30;1/26/2017;21:50;CRCE;THEFT OVER $500;ADMIN. CLOSE;
;;;;;;;;
II1700085;1/26/2017;23:35;1/26/2017;22:00;CRCE;THEFT $500 AND UNDER;PENDING;
;;;;;;;;
II1700084;1/26/2017;22:30;1/26/2017;21:50;CRCE;THEFT-IDENTITY;ADMIN. CLOSE;
;;;;;;;;
II1700085;1/26/2017;23:35;1/26/2017;22:00;CRCE;TRESPASS-STATE SUPPORTED LAND;PENDING;
;;;;;;;;
II1700032;1/26/2017;20:47;1/26/2017;20:47;VAN DOREN RESIDENCE HALL;DEL/MANUF CANNABIS OVER 30 G -FEL;ARREST;
;;;;;;;;
II1700032;1/26/2017;20:47;1/26/2017;20:47;VAN DOREN RESIDENCE HALL;CONTROLLED SUBSTANCE-POSSESSION;ARREST;
;;;;;;;;
II1700032;1/26/2017;20:47;1/26/2017;20:47;VAN DOREN RESIDENCE HALL;DELIVERY CANNABIS SCHOOL GROUNDS;ARREST;
;;;;;;;;
II1700084;1/26/2017;22:30;1/26/2017;21:50;CRCE;THEFT $500 AND UNDER;ADMIN. CLOSE;
;;;;;;;;
CSA16-131;1/26/2017;15:00;6/24/2016;UNKNOWN;PRIVATE CERTIFIED HOUSEING;SEX OFFENSE;ADMIN CLOSED;
;;;;;;;;
IF1700101;1/26/2017;0:22;1/26/2017;0:22;ALLEN RESIDENCE HALL;LIQUOR-UNDERAGE;ADMIN CLOSED;
;;;;;;;;
IF1700102;1/26/2017;2:49;1/26/2017;2:49;BARTON RESIDENCE HALL;LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700105;1/26/2017;23:05;1/26/2017;23:05;ALLEN RESIDENCE HALL;DRUGS/LIQUOR-UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
00103-2017;1/26/2017;16:51;1/20/2017;23:05;SCOTT RES HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
00140-2017;1/26/2017;10:23;1/21/2017;21:57;ALLEN RES HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
00145-2017;1/26/2017;10:08;1/25/2017;21:25;HOPKINS RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
00150-2017;1/26/2017;10:22;1/26/2017;2:03;TRELEASE RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
CSA17-12;1/26/2017;16:38;01/01-12/31/2015;UNKNOWN;UNKNOWN PRIVATE APT;RAPE;ADMIN CLOSED;
;;;;;;;;
IT1700037;1/27/2017;23:47;1/27/2017;23:47;SCOTT RESIDENCE HALL;POSS OF DRUG PARAPHERNALIA -ORD;ARREST;
;;;;;;;;
II1700091;1/27/2017;16:40;10/27/2016;0:00;CARR RESIDENCE HALL;DISORDERLY CONDUCT-ALL OTHER;ADMIN. CLOSE;
;;;;;;;;
II1700090;1/27/2017;12:09;1/27/2017;9:30;ILLINI UNION;THEFT $500 AND UNDER;ADMIN. CLOSE;
;;;;;;;;
II1700091;1/27/2017;16:40;10/27/2016;0:00;CARR RESIDENCE HALL;STALKING;ADMIN. CLOSE;
;;;;;;;;
II1700086;1/27/2017;2:27;9/1/2016;0:00;400 blk of DANIEL ST E;SEXUAL-ASSAULT-CRIMINAL;PENDING;
;;;;;;;;
IT1700037;1/27/2017;23:47;1/27/2017;23:47;SCOTT RESIDENCE HALL;CANNABIS POSS 10 GM OR LESS -ORD;ARREST;
;;;;;;;;
CSA16-133;1/27/2017;14:58;10/01-31/2016;UNKNOWN;PRIVATE APARTMENT;SEX OFFENSE;ADMIN CLOSED;
